id,text,sentiment,sentiment_score,emotion,category
1,This thriller met the basic expectations and was generally typical.,Neutral,0.06,Neutral,Movie Review
2,We were thrilled with this consulting firm — it felt exceptional and well worth the money.,Positive,0.84,Satisfied,Service Review
3,The latest trend was a disappointment; the whole experience felt poorly made.,Negative,-0.58,Angry,Social Media
4,"This blender turned out to be wonderful, and I would recommend it to anyone.",Positive,0.65,Excited,Product Review
5,It's hard to say much about this workshop; it was simply okay.,Neutral,-0.06,Neutral,Education
6,I'd describe this workshop as reasonable — it did the job without standing out.,Neutral,0.02,Neutral,Education
7,I was really let down by this thread — it was poorly made compared to what was promised.,Negative,-1.0,Angry,Social Media
8,This consulting firm was a disappointment; the whole experience felt disappointing.,Negative,-0.61,Fear,Service Review
9,I was really let down by the tech support line — it was frustrating compared to what was promised.,Negative,-0.82,Sad,Service Review
10,This rental agency met the basic expectations and was generally fine.,Neutral,-0.07,Neutral,Service Review
11,"Unfortunately, this documentary was underwhelming, and I regret spending money on it.",Negative,-0.68,Disappointed,Movie Review
12,"Honestly, this laptop was fantastic from start to finish, no complaints at all.",Positive,0.64,Excited,Product Review
13,The office chair was a disappointment; the whole experience felt frustrating.,Negative,-0.82,Sad,Product Review
14,"Honestly, this backpack was amazing from start to finish, no complaints at all.",Positive,0.6,Excited,Product Review
15,We were thrilled with the delivery service — it felt fantastic and well worth the money.,Positive,0.8,Satisfied,Service Review
16,We were thrilled with the moving company — it felt top-notch and well worth the money.,Positive,0.68,Happy,Service Review
17,This video impressed everyone in our group; simply superb.,Positive,0.95,Happy,Social Media
18,This cleaning company was a disappointment; the whole experience felt terrible.,Negative,-0.82,Angry,Service Review
19,I'd describe this blender as okay — it did the job without standing out.,Neutral,0.09,Neutral,Product Review
20,"I have to say, this food truck exceeded my expectations; it was truly top-notch.",Positive,0.99,Happy,Food Review
21,It's hard to say much about the romantic comedy; it was simply acceptable.,Neutral,0.08,Neutral,Movie Review
22,"Sadly, this thriller turned out to be unreliable, and I wouldn't try it again.",Negative,-0.99,Angry,Movie Review
23,I'd describe the vacuum cleaner as adequate — it did the job without standing out.,Neutral,0.05,Neutral,Product Review
24,"Honestly, the animated movie was top-notch from start to finish, no complaints at all.",Positive,0.64,Satisfied,Movie Review
25,The smartwatch was a disappointment; the whole experience felt unreliable.,Negative,-0.73,Sad,Product Review
26,This course impressed everyone in our group; simply superb.,Positive,0.77,Happy,Education
27,"Unfortunately, this consulting firm was poorly made, and I regret spending money on it.",Negative,-0.97,Disappointed,Service Review
28,"The new cafe turned out to be excellent, and I would recommend it to anyone.",Positive,0.94,Excited,Food Review
29,"Honestly, this thread was outstanding from start to finish, no complaints at all.",Positive,0.72,Excited,Social Media
30,I'd describe the wireless headphones as reasonable — it did the job without standing out.,Neutral,-0.08,Neutral,Product Review
31,The delivery service was a disappointment; the whole experience felt overpriced.,Negative,-0.92,Fear,Service Review
32,"The tutoring session turned out to be amazing, and I would recommend it to anyone.",Positive,0.85,Excited,Education
33,This consulting firm impressed everyone in our group; simply superb.,Positive,0.91,Happy,Service Review
34,The wireless headphones impressed everyone in our group; simply top-notch.,Positive,0.8,Happy,Product Review
35,"I have to say, the romantic comedy exceeded my expectations; it was truly superb.",Positive,0.71,Excited,Movie Review
36,"Unfortunately, this workshop was disappointing, and I regret spending money on it.",Negative,-0.55,Angry,Education
37,I'd describe the romantic comedy as typical — it did the job without standing out.,Neutral,-0.09,Neutral,Movie Review
38,We were thrilled with the pasta dish — it felt amazing and well worth the money.,Positive,0.79,Excited,Food Review
39,I was really let down by the delivery service — it was underwhelming compared to what was promised.,Negative,-0.67,Sad,Service Review
40,We were thrilled with the dessert menu — it felt amazing and well worth the money.,Positive,0.81,Happy,Food Review
41,We were thrilled with the new sequel — it felt amazing and well worth the money.,Positive,0.85,Excited,Movie Review
42,I was really let down by the online lecture — it was unreliable compared to what was promised.,Negative,-0.72,Disappointed,Education
43,"I have to say, the livestream exceeded my expectations; it was truly delightful.",Positive,0.95,Happy,Social Media
44,The action film met the basic expectations and was generally ordinary.,Neutral,0.07,Neutral,Movie Review
45,"The study guide was standard; nothing special, but nothing terrible either.",Neutral,-0.13,Neutral,Education
46,"The tech support line was ordinary; nothing special, but nothing terrible either.",Neutral,0.12,Neutral,Service Review
47,"The app redesign turned out to be exceptional, and I would recommend it to anyone.",Positive,0.87,Satisfied,Social Media
48,"I have to say, the tech support line exceeded my expectations; it was truly outstanding.",Positive,0.73,Satisfied,Service Review
49,We were thrilled with the sushi platter — it felt excellent and well worth the money.,Positive,0.72,Satisfied,Food Review
50,This drama was a disappointment; the whole experience felt underwhelming.,Negative,-0.74,Disappointed,Movie Review
51,"This restaurant was average; nothing special, but nothing terrible either.",Neutral,-0.08,Neutral,Food Review
52,This meme impressed everyone in our group; simply amazing.,Positive,0.68,Excited,Social Media
53,"I have to say, the tutoring session exceeded my expectations; it was truly outstanding.",Positive,0.83,Happy,Education
54,"Unfortunately, the customer support team was underwhelming, and I regret spending money on it.",Negative,-0.9,Angry,Service Review
55,"Honestly, this course was delightful from start to finish, no complaints at all.",Positive,0.82,Satisfied,Education
56,"Honestly, the tech support line was amazing from start to finish, no complaints at all.",Positive,0.61,Happy,Service Review
57,"This laptop turned out to be delightful, and I would recommend it to anyone.",Positive,0.69,Excited,Product Review
58,I was really let down by this cleaning company — it was subpar compared to what was promised.,Negative,-0.74,Disappointed,Service Review
59,The latest trend impressed everyone in our group; simply wonderful.,Positive,0.94,Satisfied,Social Media
60,"I have to say, the new sequel exceeded my expectations; it was truly fantastic.",Positive,0.73,Excited,Movie Review
61,"This course was fine; nothing special, but nothing terrible either.",Neutral,0.06,Neutral,Education
62,"Sadly, this drama turned out to be disappointing, and I wouldn't try it again.",Negative,-0.73,Angry,Movie Review
63,I was really let down by this water bottle — it was poorly made compared to what was promised.,Negative,-0.84,Fear,Product Review
64,"The office chair was typical; nothing special, but nothing terrible either.",Neutral,-0.02,Neutral,Product Review
65,"I have to say, the office chair exceeded my expectations; it was truly wonderful.",Positive,0.87,Happy,Product Review
66,This cleaning company was a disappointment; the whole experience felt awful.,Negative,-0.83,Angry,Service Review
67,"The resort was okay; nothing special, but nothing terrible either.",Neutral,-0.12,Neutral,Travel Review
68,"I have to say, this repair service exceeded my expectations; it was truly exceptional.",Positive,0.79,Happy,Service Review
69,"Honestly, this documentary was superb from start to finish, no complaints at all.",Positive,0.99,Excited,Movie Review
70,We were thrilled with this post — it felt amazing and well worth the money.,Positive,0.94,Happy,Social Media
71,"Honestly, this laptop was superb from start to finish, no complaints at all.",Positive,0.68,Satisfied,Product Review
72,"Sadly, the delivery service turned out to be disappointing, and I wouldn't try it again.",Negative,-0.6,Angry,Service Review
73,"Unfortunately, this meme was disappointing, and I regret spending money on it.",Negative,-0.9,Sad,Social Media
74,"Sadly, the animated movie turned out to be disappointing, and I wouldn't try it again.",Negative,-0.58,Angry,Movie Review
75,"Honestly, this thriller was fantastic from start to finish, no complaints at all.",Positive,0.75,Satisfied,Movie Review
76,This cruise met the basic expectations and was generally ordinary.,Neutral,0.08,Neutral,Travel Review
77,"This blender was acceptable; nothing special, but nothing terrible either.",Neutral,-0.1,Neutral,Product Review
