id,text,language,language_code
1,بصراحة، هو يدرس لامتحاناته النهائية.,Arabic,ar
2,"Questa mattina, Il negozio chiude presto la domenica. È vero.",Italian,it
3,"Come al solito, Il tempo è bellissimo oggi.",Italian,it
4,"Surprisingly, We watched a movie last night. That's for sure.",English,en
5,"Au fait, Les enfants jouent dans le jardin. Tout le monde est d'accord.",French,fr
6,"Ce matin, Il joue au football chaque week-end. C'est certain.",French,fr
7,"Wie immer, Die Kinder spielen im Garten. Alle sind sich einig.",German,de
8,"Überraschenderweise, Wir haben gestern Abend einen Film gesehen. Alle sind sich einig.",German,de
9,"Na verdade, O show começa às oito horas.",Portuguese,pt
10,"Surpreendentemente, Vamos ao mercado amanhã. É verdade.",Portuguese,pt
11,"Gestern, Können Sie mir helfen, den Bahnhof zu finden?",German,de
12,دراصل، ہم کل بازار جا رہے ہیں۔ سب اس بات پر متفق ہیں۔,Urdu,ur
13,"Apparemment, J'aime apprendre de nouvelles langues.",French,fr
14,"कल, कृपया मुझे एक कप कॉफी दीजिए। यह निश्चित है।",Hindi,hi
15,"Por cierto, Me gustaría una taza de café, por favor. Todos están de acuerdo.",Spanish,es
16,"Wieder einmal, Sie arbeitet in einer kleinen Bäckerei.",German,de
17,"Na verdade, O show começa às oito horas. É verdade.",Portuguese,pt
18,"Onestamente, Il tempo è bellissimo oggi. Tutti sono d'accordo.",Italian,it
19,"Honestamente, Vamos ao mercado amanhã.",Portuguese,pt
20,"Honnêtement, Le magasin ferme tôt le dimanche. C'est certain.",French,fr
21,"De hecho, Me gustaría una taza de café, por favor.",Spanish,es
22,مرة أخرى، هو يلعب كرة القدم كل نهاية أسبوع.,Arabic,ar
23,"Übrigens, Meine Familie besucht uns diesen Sommer. Das ist sicher.",German,de
24,"हैरानी की बात है, संग्रहालय सुबह नौ बजे खुलता है। यह निश्चित है।",Hindi,hi
25,"Esta mañana, ¿Puedes ayudarme a encontrar la estación de tren? Es verdad.",Spanish,es
26,"Esta manhã, Ela está lendo um livro no parque. Todos concordam.",Portuguese,pt
27,دراصل، وہ ایک چھوٹی بیکری میں کام کرتی ہے۔ یہ سچ ہے۔,Urdu,ur
28,"कल, हम कल बाजार जा रहे हैं। यह सच है।",Hindi,hi
29,بشكل مفاجئ، الأطفال يلعبون في الحديقة. هذا مؤكد.,Arabic,ar
30,"Una vez más, Mi familia nos visita este verano. Todos están de acuerdo.",Spanish,es
31,بالمناسبة، يغلق المتجر مبكرًا أيام الأحد. هذا صحيح.,Arabic,ar
32,ویسے، وہ ایک چھوٹی بیکری میں کام کرتی ہے۔ سب اس بات پر متفق ہیں۔,Urdu,ur
33,بصراحة، شاهدنا فيلمًا الليلة الماضية. هذا صحيح.,Arabic,ar
34,"एक बार फिर, वे पहाड़ों की यात्रा की योजना बना रहे हैं।",Hindi,hi
35,بظاہر، ہم نے کل رات ایک فلم دیکھی۔,Urdu,ur
36,"Como sempre, O show começa às oito horas. É verdade.",Portuguese,pt
37,ایک بار پھر، کیا آپ ٹرین اسٹیشن ڈھونڈنے میں میری مدد کر سکتے ہیں؟ یہ سچ ہے۔,Urdu,ur
38,"By the way, My family is visiting this summer.",English,en
39,Devo comprare pane e latte. È vero.,Italian,it
40,"Una vez más, El autobús llega cada quince minutos. Todos están de acuerdo.",Spanish,es
41,"A proposito, Il negozio chiude presto la domenica.",Italian,it
42,ایمانداری سے، بچے باغ میں کھیل رہے ہیں۔ یہ یقینی ہے۔,Urdu,ur
43,"Once again, The bus arrives every fifteen minutes.",English,en
44,"हैरानी की बात है, यह रेस्तरां स्वादिष्ट भोजन परोसता है। यह सच है।",Hindi,hi
45,"Aparentemente, Eu preciso comprar pão e leite. Todos concordam.",Portuguese,pt
46,بالأمس، عائلتي ستزورنا هذا الصيف. هذا مؤكد.,Arabic,ar
47,"Yesterday, They are planning a trip to the mountains.",English,en
48,دراصل، مجھے روٹی اور دودھ خریدنے کی ضرورت ہے۔ یہ سچ ہے۔,Urdu,ur
49,"Como sempre, Você pode me ajudar a encontrar a estação de trem?",Portuguese,pt
50,"Étonnamment, Nous avons regardé un film hier soir. C'est certain.",French,fr
51,"Heute Morgen, Der Garten ist voller bunter Blumen.",German,de
52,"Sorprendentemente, ¿Puedes ayudarme a encontrar la estación de tren? Eso es seguro.",Spanish,es
53,"Ieri, L'autobus arriva ogni quindici minuti.",Italian,it
54,"Ce matin, Le concert commence à huit heures. C'est vrai.",French,fr
55,"Honestamente, Vamos al mercado mañana. Es verdad.",Spanish,es
56,Mi piace imparare nuove lingue. Questo è certo.,Italian,it
57,في الواقع، الطقس جميل اليوم.,Arabic,ar
58,"By the way, The garden is full of colorful flowers. That's for sure.",English,en
59,"Aparentemente, El concierto comienza a las ocho. Todos están de acuerdo.",Spanish,es
60,حیرت کی بات ہے، ہم کل بازار جا رہے ہیں۔ سب اس بات پر متفق ہیں۔,Urdu,ur
61,"En fait, J'ai besoin d'acheter du pain et du lait. C'est vrai.",French,fr
62,"Apparentemente, Questo ristorante serve cibo delizioso. Questo è certo.",Italian,it
63,"Anscheinend, Der Garten ist voller bunter Blumen. Das ist sicher.",German,de
64,"Gestern, Das Konzert beginnt um acht Uhr. Es ist wahr.",German,de
65,"एक बार फिर, बस हर पंद्रह मिनट में आती है।",Hindi,hi
66,"Once again, The bus arrives every fifteen minutes. It's true.",English,en
67,بالأمس، هو يلعب كرة القدم كل نهاية أسبوع.,Arabic,ar
68,"Yesterday, The weather is beautiful today. It's true.",English,en
69,"Yesterday, The concert starts at eight o'clock.",English,en
70,"Wie immer, Sie arbeitet in einer kleinen Bäckerei. Es ist wahr.",German,de
71,"Honestamente, O jardim está cheio de flores coloridas. Todos concordam.",Portuguese,pt
72,Este restaurante sirve comida deliciosa.,Spanish,es
73,"Au fait, Elle travaille dans une petite boulangerie. C'est vrai.",French,fr
74,"Wie immer, Er spielt jedes Wochenende Fußball. Alle sind sich einig.",German,de
75,كالعادة، يخططون لرحلة إلى الجبال. هذا مؤكد.,Arabic,ar
76,"Au fait, J'aime apprendre de nouvelles langues.",French,fr
77,کیا آپ ٹرین اسٹیشن ڈھونڈنے میں میری مدد کر سکتے ہیں؟ یہ سچ ہے۔,Urdu,ur
78,"Sorprendentemente, Lui sta studiando per gli esami finali. Questo è certo.",Italian,it
79,"A proposito, Stanno pianificando un viaggio in montagna. È vero.",Italian,it
80,"Na verdade, O jardim está cheio de flores coloridas. Isso é certo.",Portuguese,pt
81,"Wieder einmal, Sie planen eine Reise in die Berge. Es ist wahr.",German,de
82,"Honestly, She works at a small bakery downtown. It's true.",English,en
83,"Wie immer, Ich hätte gerne eine Tasse Kaffee, bitte. Das ist sicher.",German,de
84,"Ieri, Lei sta leggendo un libro nel parco. Tutti sono d'accordo.",Italian,it
85,"Por cierto, Mi familia nos visita este verano. Eso es seguro.",Spanish,es
86,"Como siempre, Vimos una película anoche.",Spanish,es
87,El autobús llega cada quince minutos.,Spanish,es
88,بصراحة، أود كوب قهوة من فضلك. الجميع يوافق.,Arabic,ar
89,"Au fait, Ma famille nous rend visite cet été.",French,fr
90,"Apparentemente, Puoi aiutarmi a trovare la stazione dei treni? Questo è certo.",Italian,it
91,"जाहिर तौर पर, यह रेस्तरां स्वादिष्ट भोजन परोसता है। यह निश्चित है।",Hindi,hi
92,Eu preciso comprar pão e leite. É verdade.,Portuguese,pt
93,"हमेशा की तरह, आज मौसम बहुत सुंदर है। यह निश्चित है।",Hindi,hi
94,بشكل مفاجئ، عائلتي ستزورنا هذا الصيف. الجميع يوافق.,Arabic,ar
95,"आज सुबह, आज मौसम बहुत सुंदर है।",Hindi,hi
96,"वास्तव में, संगीत कार्यक्रम आठ बजे शुरू होता है।",Hindi,hi
97,"कल, वे पहाड़ों की यात्रा की योजना बना रहे हैं। यह निश्चित है।",Hindi,hi
98,هي تعمل في مخبز صغير. هذا صحيح.,Arabic,ar
99,"Étonnamment, Le musée ouvre à neuf heures du matin. Tout le monde est d'accord.",French,fr
100,Le magasin ferme tôt le dimanche. C'est certain.,French,fr
101,"Como siempre, Este restaurante sirve comida deliciosa. Es verdad.",Spanish,es
102,بالمناسبة، أود كوب قهوة من فضلك. هذا مؤكد.,Arabic,ar
103,مجھے روٹی اور دودھ خریدنے کی ضرورت ہے۔ یہ یقینی ہے۔,Urdu,ur
104,هذا الصباح، هي تقرأ كتابًا في الحديقة. هذا مؤكد.,Arabic,ar
105,"Honestly, I need to buy some bread and milk. Everyone agrees.",English,en
106,"Yesterday, We are going to the market tomorrow. It's true.",English,en
107,"Comme d'habitude, Nous avons regardé un film hier soir. C'est vrai.",French,fr
108,"Comme d'habitude, Pouvez-vous m'aider à trouver la gare ? Tout le monde est d'accord.",French,fr
109,ایمانداری سے، مجھے نئی زبانیں سیکھنا پسند ہے۔ یہ سچ ہے۔,Urdu,ur
110,"Sorprendentemente, L'autobus arriva ogni quindici minuti. È vero.",Italian,it
111,वे पहाड़ों की यात्रा की योजना बना रहे हैं। यह सच है।,Hindi,hi
112,"Honestly, We are going to the market tomorrow. That's for sure.",English,en
113,"Hier, Je voudrais une tasse de café, s'il vous plaît. C'est vrai.",French,fr
114,"Surpreendentemente, O show começa às oito horas. Isso é certo.",Portuguese,pt
115,بظاہر، میرا خاندان اس گرمی میں ہم سے ملنے آ رہا ہے۔ یہ سچ ہے۔,Urdu,ur
116,"As usual, The children are playing in the garden. That's for sure.",English,en
117,في الواقع، سنذهب إلى السوق غدًا. هذا صحيح.,Arabic,ar
118,O tempo está lindo hoje.,Portuguese,pt
119,"This morning, This restaurant serves delicious food. It's true.",English,en
120,"जाहिर तौर पर, मेरा परिवार इस गर्मी में हमसे मिलने आ रहा है। सभी सहमत हैं।",Hindi,hi
121,حیرت کی بات ہے، مجھے نئی زبانیں سیکھنا پسند ہے۔,Urdu,ur
122,"वास्तव में, वह हर सप्ताहांत फुटबॉल खेलता है। सभी सहमत हैं।",Hindi,hi
123,"Como sempre, Ela está lendo um livro no parque. Todos concordam.",Portuguese,pt
124,"हमेशा की तरह, आज मौसम बहुत सुंदर है। सभी सहमत हैं।",Hindi,hi
125,دراصل، مجھے نئی زبانیں سیکھنا پسند ہے۔ سب اس بات پر متفق ہیں۔,Urdu,ur
126,Ella está leyendo un libro en el parque.,Spanish,es
127,"Étonnamment, Il étudie pour ses examens finaux. C'est vrai.",French,fr
128,بالأمس، شاهدنا فيلمًا الليلة الماضية. هذا صحيح.,Arabic,ar
129,"Una vez más, El concierto comienza a las ocho. Eso es seguro.",Spanish,es
130,"Sorprendentemente, Stanno pianificando un viaggio in montagna. È vero.",Italian,it
131,"हैरानी की बात है, दुकान रविवार को जल्दी बंद हो जाती है। यह सच है।",Hindi,hi
132,यह रेस्तरां स्वादिष्ट भोजन परोसता है। सभी सहमत हैं।,Hindi,hi
133,"Étonnamment, J'aime apprendre de nouvelles langues.",French,fr
134,هذا الصباح، هي تعمل في مخبز صغير. الجميع يوافق.,Arabic,ar
135,"Ce matin, Il joue au football chaque week-end.",French,fr
136,"Como siempre, El clima está hermoso hoy. Todos están de acuerdo.",Spanish,es
137,"Surprisingly, They are planning a trip to the mountains. That's for sure.",English,en
138,بالمناسبة، هو يدرس لامتحاناته النهائية. الجميع يوافق.,Arabic,ar
139,"Once again, We are going to the market tomorrow. It's true.",English,en
140,بالمناسبة، هو يدرس لامتحاناته النهائية.,Arabic,ar
141,بصراحة، أستمتع بتعلم لغات جديدة. الجميع يوافق.,Arabic,ar
142,"Übrigens, Dieses Restaurant serviert köstliches Essen. Das ist sicher.",German,de
143,بالمناسبة، أود كوب قهوة من فضلك. هذا صحيح.,Arabic,ar
144,"वैसे, हम कल बाजार जा रहे हैं। यह निश्चित है।",Hindi,hi
145,بالمناسبة، أحتاج إلى شراء خبز وحليب. هذا مؤكد.,Arabic,ar
146,"Questa mattina, L'autobus arriva ogni quindici minuti. È vero.",Italian,it
147,بالمناسبة، الحديقة مليئة بالزهور الملونة. الجميع يوافق.,Arabic,ar
148,"Infatti, Il concerto inizia alle otto. È vero.",Italian,it
149,"ईमानदारी से, दुकान रविवार को जल्दी बंद हो जाती है। यह निश्चित है।",Hindi,hi
150,"Once again, My family is visiting this summer. That's for sure.",English,en
151,"Ontem, Eu gosto de aprender novos idiomas. É verdade.",Portuguese,pt
152,"Honnêtement, Les enfants jouent dans le jardin.",French,fr
153,"Sorprendentemente, Il giardino è pieno di fiori colorati. Questo è certo.",Italian,it
154,بظاہر، دکان اتوار کو جلدی بند ہو جاتی ہے۔ یہ سچ ہے۔,Urdu,ur
155,El autobús llega cada quince minutos. Eso es seguro.,Spanish,es
156,"वास्तव में, वह अपनी अंतिम परीक्षाओं के लिए पढ़ रहा है।",Hindi,hi
157,"Sorprendentemente, La tienda cierra temprano los domingos.",Spanish,es
158,بالمناسبة، شاهدنا فيلمًا الليلة الماضية.,Arabic,ar
159,"Yesterday, They are planning a trip to the mountains. It's true.",English,en
160,"कल, वह पार्क में एक किताब पढ़ रही है। यह सच है।",Hindi,hi
161,"Una vez más, Ella trabaja en una pequeña panadería. Todos están de acuerdo.",Spanish,es
162,Nous avons regardé un film hier soir.,French,fr
163,"Übrigens, Das Museum öffnet um neun Uhr morgens. Das ist sicher.",German,de
164,"Honnêtement, Elle lit un livre dans le parc.",French,fr
165,"Sorprendentemente, El clima está hermoso hoy.",Spanish,es
166,"Encore une fois, Elle travaille dans une petite boulangerie.",French,fr
167,"Honestamente, Ella está leyendo un libro en el parque. Todos están de acuerdo.",Spanish,es
168,"Ancora una volta, Vorrei una tazza di caffè, per favore. Tutti sono d'accordo.",Italian,it
169,"Übrigens, Sie planen eine Reise in die Berge.",German,de
170,حیرت کی بات ہے، بچے باغ میں کھیل رہے ہیں۔ یہ یقینی ہے۔,Urdu,ur
171,"This morning, The store closes early on Sundays. Everyone agrees.",English,en
172,"Mais uma vez, Assistimos a um filme ontem à noite. Todos concordam.",Portuguese,pt
173,"Wieder einmal, Das Konzert beginnt um acht Uhr. Alle sind sich einig.",German,de
174,"Au fait, Le jardin est plein de fleurs colorées. C'est vrai.",French,fr
175,Il joue au football chaque week-end.,French,fr
176,"Honnêtement, Le concert commence à huit heures.",French,fr
177,"Honnêtement, Nous allons au marché demain. C'est vrai.",French,fr
178,"Wieder einmal, Das Museum öffnet um neun Uhr morgens.",German,de
179,"हमेशा की तरह, कृपया मुझे एक कप कॉफी दीजिए। यह निश्चित है।",Hindi,hi
180,"Esta manhã, As crianças estão brincando no jardim. É verdade.",Portuguese,pt
181,"Hier, Ma famille nous rend visite cet été. C'est certain.",French,fr
182,La tienda cierra temprano los domingos. Es verdad.,Spanish,es
183,حیرت کی بات ہے، وہ ایک چھوٹی بیکری میں کام کرتی ہے۔ سب اس بات پر متفق ہیں۔,Urdu,ur
184,"As usual, The children are playing in the garden. Everyone agrees.",English,en
185,"Como sempre, Assistimos a um filme ontem à noite.",Portuguese,pt
186,"Una vez más, Vimos una película anoche.",Spanish,es
187,"Wie immer, Ich lerne gerne neue Sprachen. Das ist sicher.",German,de
188,"Ce matin, Le jardin est plein de fleurs colorées. C'est vrai.",French,fr
189,"Ancora una volta, Devo comprare pane e latte. È vero.",Italian,it
190,"Once again, Can you help me find the train station? Everyone agrees.",English,en
191,حیرت کی بات ہے، ہم کل بازار جا رہے ہیں۔ یہ سچ ہے۔,Urdu,ur
192,"Once again, I would like a cup of coffee, please.",English,en
193,"Surprisingly, The weather is beautiful today. It's true.",English,en
194,بالمناسبة، يبدأ الحفل الساعة الثامنة. هذا صحيح.,Arabic,ar
195,"Questa mattina, Il concerto inizia alle otto. Tutti sono d'accordo.",Italian,it
196,بشكل مفاجئ، هو يدرس لامتحاناته النهائية. هذا صحيح.,Arabic,ar
197,مرة أخرى، يغلق المتجر مبكرًا أيام الأحد. هذا مؤكد.,Arabic,ar
198,"Esta manhã, Minha família vai nos visitar neste verão. É verdade.",Portuguese,pt
199,"Ce matin, Le jardin est plein de fleurs colorées. Tout le monde est d'accord.",French,fr
200,L'autobus arriva ogni quindici minuti.,Italian,it
201,"Wieder einmal, Sie liest ein Buch im Park.",German,de
202,كالعادة، الحديقة مليئة بالزهور الملونة.,Arabic,ar
203,"Questa mattina, Il negozio chiude presto la domenica.",Italian,it
204,"Wieder einmal, Die Kinder spielen im Garten. Es ist wahr.",German,de
205,"A propósito, Eu gosto de aprender novos idiomas. Todos concordam.",Portuguese,pt
206,"वास्तव में, क्या आप मुझे रेलवे स्टेशन खोजने में मदद कर सकते हैं? सभी सहमत हैं।",Hindi,hi
207,"Sorprendentemente, Questo ristorante serve cibo delizioso.",Italian,it
208,The museum opens at nine in the morning. It's true.,English,en
209,"Como siempre, El clima está hermoso hoy.",Spanish,es
210,"Hier, Ils prévoient un voyage à la montagne. Tout le monde est d'accord.",French,fr
211,"Übrigens, Wir haben gestern Abend einen Film gesehen.",German,de
212,"Questa mattina, Lei lavora in una piccola panetteria. Tutti sono d'accordo.",Italian,it
213,بالمناسبة، أود كوب قهوة من فضلك.,Arabic,ar
214,"By the way, He plays football every weekend. It's true.",English,en
215,بشكل مفاجئ، عائلتي ستزورنا هذا الصيف. هذا مؤكد.,Arabic,ar
216,"कल, क्या आप मुझे रेलवे स्टेशन खोजने में मदद कर सकते हैं? यह सच है।",Hindi,hi
217,Der Garten ist voller bunter Blumen. Es ist wahr.,German,de
218,"हमेशा की तरह, क्या आप मुझे रेलवे स्टेशन खोजने में मदद कर सकते हैं? यह निश्चित है।",Hindi,hi
219,هذا الصباح، شاهدنا فيلمًا الليلة الماضية. الجميع يوافق.,Arabic,ar
220,"Por cierto, Él está estudiando para sus exámenes finales. Eso es seguro.",Spanish,es
221,"Honnêtement, J'aime apprendre de nouvelles langues. Tout le monde est d'accord.",French,fr
