id,text,unigrams,bigrams,trigrams,category
1,"In a statement, fans traveled from nearby cities to watch the championship final.","statement, fans, traveled, nearby, cities, watch, championship, final","in a, a statement, statement fans, fans traveled, traveled from, from nearby, nearby cities, cities to, to watch, watch the, the championship, championship final","in a statement, a statement fans, statement fans traveled, fans traveled from, traveled from nearby, from nearby cities, nearby cities to, cities to watch, to watch the, watch the championship, the championship final",Sports
2,"Overall, fans traveled from nearby cities to watch the championship final. This was confirmed by multiple sources.","overall, fans, traveled, nearby, cities, watch, championship, final, confirmed, multiple, sources","overall fans, fans traveled, traveled from, from nearby, nearby cities, cities to, to watch, watch the, the championship, championship final, final this, this was, was confirmed, confirmed by, by multiple, multiple sources","overall fans traveled, fans traveled from, traveled from nearby, from nearby cities, nearby cities to, cities to watch, to watch the, watch the championship, the championship final, championship final this, final this was, this was confirmed, was confirmed by, confirmed by multiple, by multiple sources",Sports
3,"As expected, critics praised the director's bold approach to the classic story. Reactions were mixed among observers.","expected, critics, praised, directors, bold, approach, classic, story, reactions, mixed, among, observers","as expected, expected critics, critics praised, praised the, the directors, directors bold, bold approach, approach to, to the, the classic, classic story, story reactions, reactions were, were mixed, mixed among, among observers","as expected critics, expected critics praised, critics praised the, praised the directors, the directors bold, directors bold approach, bold approach to, approach to the, to the classic, the classic story, classic story reactions, story reactions were, reactions were mixed, were mixed among, mixed among observers",Entertainment
4,The referee reviewed the replay before confirming the controversial goal. Further details are expected soon.,"referee, reviewed, replay, before, confirming, controversial, goal, further, details, expected, soon","the referee, referee reviewed, reviewed the, the replay, replay before, before confirming, confirming the, the controversial, controversial goal, goal further, further details, details are, are expected, expected soon","the referee reviewed, referee reviewed the, reviewed the replay, the replay before, replay before confirming, before confirming the, confirming the controversial, the controversial goal, controversial goal further, goal further details, further details are, details are expected, are expected soon",Sports
5,"Notably, fans traveled from nearby cities to watch the championship final.","notably, fans, traveled, nearby, cities, watch, championship, final","notably fans, fans traveled, traveled from, from nearby, nearby cities, cities to, to watch, watch the, the championship, championship final","notably fans traveled, fans traveled from, traveled from nearby, from nearby cities, nearby cities to, cities to watch, to watch the, watch the championship, the championship final",Sports
6,"Overall, the college launched an online course to teach basic coding skills. Many found this development notable.","overall, college, launched, online, course, teach, basic, coding, skills, many, found, development, notable","overall the, the college, college launched, launched an, an online, online course, course to, to teach, teach basic, basic coding, coding skills, skills many, many found, found this, this development, development notable","overall the college, the college launched, college launched an, launched an online, an online course, online course to, course to teach, to teach basic, teach basic coding, basic coding skills, coding skills many, skills many found, many found this, found this development, this development notable",Education
7,"As expected, the company reported steady revenue growth during the third quarter. Many found this development notable.","expected, company, reported, steady, revenue, growth, during, third, quarter, many, found, development, notable","as expected, expected the, the company, company reported, reported steady, steady revenue, revenue growth, growth during, during the, the third, third quarter, quarter many, many found, found this, this development, development notable","as expected the, expected the company, the company reported, company reported steady, reported steady revenue, steady revenue growth, revenue growth during, growth during the, during the third, the third quarter, third quarter many, quarter many found, many found this, found this development, this development notable",Business
8,"In a statement, mental health awareness programs are becoming common in workplaces. Officials had no further comment.","statement, mental, health, awareness, programs, becoming, common, workplaces, officials, had, no, further, comment","in a, a statement, statement mental, mental health, health awareness, awareness programs, programs are, are becoming, becoming common, common in, in workplaces, workplaces officials, officials had, had no, no further, further comment","in a statement, a statement mental, statement mental health, mental health awareness, health awareness programs, awareness programs are, programs are becoming, are becoming common, becoming common in, common in workplaces, in workplaces officials, workplaces officials had, officials had no, had no further, no further comment",Health
9,"Based on recent updates, machine learning models require significant computing power to train effectively. Experts continue to monitor the situation.","based, recent, updates, machine, learning, models, require, significant, computing, power, train, effectively, experts, continue, monitor, situation","based on, on recent, recent updates, updates machine, machine learning, learning models, models require, require significant, significant computing, computing power, power to, to train, train effectively, effectively experts, experts continue, continue to, to monitor, monitor the, the situation","based on recent, on recent updates, recent updates machine, updates machine learning, machine learning models, learning models require, models require significant, require significant computing, significant computing power, computing power to, power to train, to train effectively, train effectively experts, effectively experts continue, experts continue to, continue to monitor, to monitor the, monitor the situation",Technology
10,"According to local reports, the startup secured additional funding to scale its operations abroad.","according, local, reports, startup, secured, additional, funding, scale, its, operations, abroad","according to, to local, local reports, reports the, the startup, startup secured, secured additional, additional funding, funding to, to scale, scale its, its operations, operations abroad","according to local, to local reports, local reports the, reports the startup, the startup secured, startup secured additional, secured additional funding, additional funding to, funding to scale, to scale its, scale its operations, its operations abroad",Business
