file_name,concept,number_of_rows,number_of_columns,difficulty,description
nlp_basics.csv,"Text statistics & basic NLP properties (word count, character count, punctuation)",2000,8,Beginner,"2,000 original English sentences with computed surface-level statistics (word count, character count, uppercase count, punctuation count, and a Short/Medium/Long sentence-length bucket). Ideal first dataset for learning how to compute basic text features with Python and Pandas."
text_preprocessing.csv,"Text cleaning: lowercasing, punctuation/number removal, tokenization, stopword removal, stemming, lemmatization",2000,8,Beginner,"2,000 messy, realistic sentences (mixed case, contractions, extra whitespace, punctuation) paired with each stage of a standard preprocessing pipeline, so students can compare raw vs. cleaned vs. tokenized vs. stemmed vs. lemmatized output side by side."
bow_tfidf.csv,Bag of Words and TF-IDF term relevance,2000,5,Beginner-Intermediate,"2,000 sentences across 8 categories, each annotated with the terms a Bag-of-Words model would flag as relevant versus the more distinctive terms a TF-IDF model would highlight, illustrating how TF-IDF downweights common words."
ngrams.csv,"Unigrams, bigrams, and trigrams",2000,6,Beginner-Intermediate,"2,000 sentences with pre-computed unigram, bigram, and trigram lists, useful for teaching n-gram extraction and its role in language modeling and feature engineering."
sentiment_analysis.csv,Sentiment classification and emotion detection,3000,6,Beginner-Intermediate,"3,000 review-style texts across 7 categories, labeled with sentiment (Positive/Negative/Neutral), a numeric sentiment score, and a specific emotion, with labels logically consistent with the text content."
named_entity_recognition.csv,Named Entity Recognition (NER),2000,10,Intermediate,"2,000 sentences containing realistic fictional entities (people, organizations, locations, dates, money amounts, products), with entities and entity types extracted into structured columns for supervised NER training and evaluation."
text_classification.csv,Multi-class text classification,3000,5,Intermediate,"3,000 news-style sentences evenly spread across 10 categories and subcategories with varying difficulty levels, suitable for training and evaluating text classification models."
text_similarity.csv,Sentence similarity & semantic relationships,2000,6,Intermediate,"2,000 sentence pairs labeled with a similarity score (0-1), a categorical similarity label, and a relationship type (Same Meaning, Paraphrase, Related, Contradiction, Unrelated), useful for semantic textual similarity and sentence-embedding tasks."
word_embeddings.csv,Word relationships & embedding intuition,2000,6,Intermediate,"2,000 word pairs spanning synonym, antonym, related-concept, category-member, profession, location, object, and action relationships across 7 vocabulary domains, with an approximate similarity score to build intuition for embedding spaces before training real word2vec/GloVe models."
transformer_examples.csv,Modern NLP tasks for Transformer models,2000,6,Intermediate-Advanced,"2,000 examples evenly covering 8 core Transformer-era tasks (sentiment analysis, classification, NER, QA, summarization, similarity, generation, and masked language modeling), each with an expected output and a difficulty rating, ideal for introducing the Hugging Face Transformers pipeline API."
question_answering.csv,Extractive Question Answering,2000,6,Intermediate-Advanced,"2,000 context/question/answer triples where every answer is a verified exact substring of its context (character offset included), matching the format used by extractive QA models such as those trained on SQuAD-style data."
text_summarization.csv,Abstractive text summarization,2000,5,Intermediate-Advanced,"2,000 short articles paired with concise, accurate one-sentence summaries across 8 topic categories, suitable for training or evaluating summarization models."
spam_detection.csv,Binary text classification (spam/ham),3000,5,Beginner-Intermediate,"3,000 messages labeled Spam or Ham across 7 message categories (advertisements, scams, work messages, personal messages, etc.), a classic binary classification task with no real personal or financial data included."
topic_modeling.csv,Topic modeling (LDA / NMF),3000,4,Intermediate-Advanced,"3,000 documents evenly distributed across 10 technology- and industry-related topics with relevant keyword annotations, ideal for practicing unsupervised topic modeling with Gensim or scikit-learn and comparing discovered topics against ground truth."
language_detection.csv,Language identification,2000,4,Beginner,"2,000 simple educational sentences evenly spread across 9 languages (English, French, Spanish, German, Italian, Portuguese, Arabic, Hindi, Urdu) with ISO-style language codes, suitable for training or testing a basic language detection classifier."
