id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
1,"According to the report, the hikers reached the summit just before sunset.","Just before sunset, the hikers arrived at the summit.",0.98,Very High,Same Meaning
2,A bike-sharing program was launched by the city to ease traffic congestion.,"It was noted that to cut down on traffic, the city introduced a bike-sharing program.",0.81,High,Paraphrase
3,The hospital's new wing focuses on caring for young patients.,The students put in a lot of effort studying for finals.,0.13,Very Low,Unrelated
4,Sources confirmed that the orchestra honored the late composer with an emotional performance.,It was noted that the orchestra performed a moving tribute to the late composer.,0.94,Very High,Same Meaning
5,"Notably, the new smartphone features a significantly improved camera.",Sources confirmed that the new smartphone's camera quality is worse than the previous model.,0.19,Low,Contradiction
6,"Notably, the orchestra performed a moving tribute to the late composer.",The orchestra honored the late composer with an emotional performance.,0.94,Very High,Same Meaning
7,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,"Notably, the bakery discontinued its gluten-free pastry line due to low demand.",0.17,Low,Contradiction
8,"According to the report, the city council approved funding for a new public park.",The city council approved funding for a new public park.,0.94,Very High,Same Meaning
9,The guests were served a tasty meal that the chef had cooked.,A delicious meal was made by the chef for the guests.,0.82,High,Paraphrase
10,"Notably, a much better camera is one of the new smartphone's key features.","According to the report, the new smartphone's camera quality is worse than the previous model.",0.29,Low,Contradiction
11,"Notably, the orchestra performed a moving tribute to the late composer.","As widely reported, tickets for the tribute concert sold out within hours.",0.5,Medium,Related
12,"Sources confirmed that just before sunset, the hikers arrived at the summit.",It was noted that the trail offered stunning views of the surrounding valley.,0.51,Medium,Related
13,"According to the report, the championship was won by the soccer team in a thrilling final match.","As widely reported, thousands of fans celebrated in the streets after the victory.",0.57,Medium,Related
14,Sources confirmed that the guests were served a tasty meal that the chef had cooked.,"Notably, the chef ruined the meal and the guests left disappointed.",0.3,Low,Contradiction
15,"Notably, after a dramatic final, the soccer team claimed the championship title.","As widely reported, due to bad weather, the airline had to cancel a number of flights.",0.05,Very Low,Unrelated
16,"As widely reported, record profits were announced by the company for the current quarter.","Notably, record profits were announced by the company for the current quarter.",0.98,Very High,Same Meaning
17,It was noted that the airline canceled several flights due to bad weather.,It was noted that the airline operated all its flights on schedule despite the storm.,0.26,Low,Contradiction
18,"As widely reported, the students put in a lot of effort studying for finals.",The students put in a lot of effort studying for finals.,0.88,High,Paraphrase
19,"Notably, after a dramatic final, the soccer team claimed the championship title.",Sources confirmed that the soccer team won the championship after a dramatic final.,0.93,Very High,Same Meaning
20,It was noted that the city launched a bike-sharing program to reduce traffic congestion.,"As widely reported, a bike-sharing program was launched by the city to ease traffic congestion.",0.8,High,Paraphrase
21,Sources confirmed that the hospital opened a new wing dedicated to pediatric care.,"According to the report, the factory upgraded its equipment to reduce energy consumption.",0.1,Very Low,Unrelated
22,"Notably, the startup developed an app that helps farmers monitor soil health.","According to the report, a delicious meal was made by the chef for the guests.",0.06,Very Low,Unrelated
23,The group of hikers made it to the top right before the sun went down.,"Notably, just before sunset, the hikers arrived at the summit.",0.8,High,Paraphrase
24,"According to the report, the guests were served a tasty meal that the chef had cooked.","Notably, the restaurant received great reviews for its outstanding service.",0.61,Medium,Related
25,"According to the report, the city council approved funding for a new public park.","As widely reported, local residents have long requested more green spaces downtown.",0.61,Medium,Related
26,"As widely reported, last weekend, volunteers spent hours removing litter from the riverbank.","According to the report, litter along the riverbank was cleared by volunteers last weekend.",0.93,Very High,Same Meaning
27,Sources confirmed that the startup developed an app that helps farmers monitor soil health.,It was noted that an app for monitoring soil health was created by the startup for farmers.,0.82,High,Paraphrase
28,"Notably, a bike-sharing program was launched by the city to ease traffic congestion.",Sources confirmed that the startup developed an app that helps farmers monitor soil health.,0.09,Very Low,Unrelated
29,"Sources confirmed that this spring, the novelist's long-awaited sequel finally arrived.","As widely reported, the group of hikers made it to the top right before the sun went down.",0.01,Very Low,Unrelated
30,"Notably, the bakery started offering gluten-free pastries as a new product line.","As widely reported, the bakery started offering gluten-free pastries as a new product line.",0.83,High,Paraphrase
31,"According to the report, after a dramatic final, the soccer team claimed the championship title.",Sources confirmed that the soccer team won the championship after a dramatic final.,0.81,High,Paraphrase
32,"It was noted that for their final exams, the students prepared diligently.","According to the report, for their final exams, the students prepared diligently.",0.87,High,Paraphrase
33,"As widely reported, fans welcomed the release of the novelist's sequel this spring.",Sources confirmed that the novelist postponed the release of her sequel indefinitely.,0.17,Low,Contradiction
34,"Notably, the factory upgraded its equipment to reduce energy consumption.",Sources confirmed that the upgrade is expected to lower operating costs significantly.,0.52,Medium,Related
35,The bakery started offering gluten-free pastries as a new product line.,A new gluten-free pastry line was launched by the bakery.,0.85,High,Paraphrase
36,"Due to bad weather, the airline had to cancel a number of flights.",The airline operated all its flights on schedule despite the storm.,0.31,Low,Contradiction
37,"According to the report, a much better camera is one of the new smartphone's key features.","Notably, the novelist released her long-awaited sequel this spring.",0.11,Very Low,Unrelated
38,"As widely reported, the hospital's new wing focuses on caring for young patients.","According to the report, the hospital closed its pediatric care wing due to budget cuts.",0.27,Low,Contradiction
39,Sources confirmed that the soccer team won the championship after a dramatic final.,"Sources confirmed that last weekend, volunteers spent hours removing litter from the riverbank.",0.03,Very Low,Unrelated
40,"Notably, the film received widespread critical acclaim upon release.","Notably, this quarter, the company reported record breaking profits.",0.13,Very Low,Unrelated
41,A moving tribute to the late composer was performed by the orchestra.,It was noted that the orchestra canceled its planned tribute to the composer.,0.2,Low,Contradiction
42,"As widely reported, the factory's energy consumption dropped after an equipment upgrade.","According to the report, the factory upgraded its equipment to reduce energy consumption.",0.95,Very High,Same Meaning
43,It was noted that the championship was won by the soccer team in a thrilling final match.,Sources confirmed that the students studied hard for their final exams.,0.11,Very Low,Unrelated
44,"Notably, the soccer team won the championship after a dramatic final.","According to the report, thousands of fans celebrated in the streets after the victory.",0.58,Medium,Related
45,"According to the report, funding for a new public park was approved by the city council.","As widely reported, local residents have long requested more green spaces downtown.",0.6,Medium,Related
46,It was noted that an app for monitoring soil health was created by the startup for farmers.,"According to the report, farmers can now use the startup's app to track soil health.",0.81,High,Paraphrase
47,Several flights were canceled by the airline because of poor weather conditions.,The airline canceled several flights due to bad weather.,0.88,High,Paraphrase
48,The bakery introduced a new line of gluten-free pastries.,Sources confirmed that the bakery introduced a new line of gluten-free pastries.,0.93,Very High,Same Meaning
49,"Notably, new equipment was installed at the factory to cut energy use.",Sources confirmed that the upgrade is expected to lower operating costs significantly.,0.53,Medium,Related
50,Sources confirmed that the museum unveiled a new exhibit on ancient civilizations.,"Notably, the hospital opened a new wing dedicated to pediatric care.",0.06,Very Low,Unrelated
51,"Notably, fans welcomed the release of the novelist's sequel this spring.",It was noted that fans welcomed the release of the novelist's sequel this spring.,0.96,Very High,Same Meaning
52,The factory's energy consumption dropped after an equipment upgrade.,"According to the report, the factory's energy consumption dropped after an equipment upgrade.",0.77,High,Paraphrase
53,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.","Notably, the book tour will include stops in several major cities.",0.58,Medium,Related
54,"As widely reported, the factory upgraded its equipment to reduce energy consumption.","According to the report, the upgrade is expected to lower operating costs significantly.",0.65,Medium,Related
55,"As widely reported, litter along the riverbank was cleared by volunteers last weekend.",The volunteers cleaned up litter along the riverbank last weekend.,0.97,Very High,Same Meaning
56,It was noted that the orchestra honored the late composer with an emotional performance.,"As widely reported, the orchestra performed a moving tribute to the late composer.",0.79,High,Paraphrase
57,The hikers reached the summit just before sunset.,"It was noted that just before sunset, the hikers arrived at the summit.",0.98,Very High,Same Meaning
58,"As widely reported, a delicious meal was made by the chef for the guests.",It was noted that the chef ruined the meal and the guests left disappointed.,0.21,Low,Contradiction
59,"According to the report, groundbreaking research on renewable energy was published by the scientists.",The hikers reached the summit just before sunset.,0.05,Very Low,Unrelated
60,"According to the report, a new pediatric care wing was opened at the hospital.","According to the report, the hospital closed its pediatric care wing due to budget cuts.",0.25,Low,Contradiction
61,Sources confirmed that the airline canceled several flights due to bad weather.,"It was noted that due to bad weather, the airline had to cancel a number of flights.",0.75,High,Paraphrase
62,"As widely reported, the students studied hard for their final exams.",Sources confirmed that the students put in a lot of effort studying for finals.,0.93,Very High,Same Meaning
63,"According to the report, for their final exams, the students prepared diligently.","As widely reported, the students studied hard for their final exams.",0.86,High,Paraphrase
64,"As widely reported, the museum unveiled a new exhibit on ancient civilizations.",It was noted that reviewers praised the phone's battery life and sleek design.,0.06,Very Low,Unrelated
65,"Notably, the students studied hard for their final exams.","Notably, the students barely studied and skipped most of their classes.",0.33,Low,Contradiction
66,"According to the report, this quarter, the company reported record breaking profits.",Sources confirmed that a new exhibit about ancient civilizations opened at the museum.,0.01,Very Low,Unrelated
67,The novelist released her long-awaited sequel this spring.,The soccer team won the championship after a dramatic final.,0.03,Very Low,Unrelated
68,It was noted that a bike-sharing program was launched by the city to ease traffic congestion.,"According to the report, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.56,Medium,Related
69,"According to the report, the bakery introduced a new line of gluten-free pastries.","As widely reported, farmers can now use the startup's app to track soil health.",0.01,Very Low,Unrelated
70,Sources confirmed that the research team released a major study about renewable energy.,"As widely reported, the university received a large grant to fund further energy research.",0.51,Medium,Related
71,The bakery started offering gluten-free pastries as a new product line.,"According to the report, the bakery started offering gluten-free pastries as a new product line.",0.9,Very High,Same Meaning
72,"Upon its release, the film was widely praised by critics.",Sources confirmed that critics gave the film glowing reviews when it came out.,0.85,High,Paraphrase
73,"As widely reported, the new smartphone features a significantly improved camera.",Sources confirmed that the new smartphone's camera quality is worse than the previous model.,0.27,Low,Contradiction
74,"According to the report, the new smartphone features a significantly improved camera.",Reviewers praised the phone's battery life and sleek design.,0.49,Medium,Related
75,Sources confirmed that a moving tribute to the late composer was performed by the orchestra.,"Notably, the smartphone's camera has been greatly improved in this new version.",0.05,Very Low,Unrelated
76,"According to the report, the students studied hard for their final exams.","Notably, the students barely studied and skipped most of their classes.",0.17,Low,Contradiction
77,"This quarter, the company reported record breaking profits.","Notably, the company reported a significant loss this quarter.",0.21,Low,Contradiction
78,"As widely reported, critics gave the film glowing reviews when it came out.","Upon its release, the film was widely praised by critics.",0.88,High,Paraphrase
79,Sources confirmed that groundbreaking research on renewable energy was published by the scientists.,It was noted that the research team released a major study about renewable energy.,0.93,Very High,Same Meaning
80,"According to the report, an app for monitoring soil health was created by the startup for farmers.",Farmers can now use the startup's app to track soil health.,0.93,Very High,Same Meaning
81,It was noted that the company announced record profits this quarter.,"Sources confirmed that this quarter, the company reported record breaking profits.",0.95,Very High,Same Meaning
82,"It was noted that after a dramatic final, the soccer team claimed the championship title.",It was noted that the soccer team won the championship after a dramatic final.,0.79,High,Paraphrase
83,"According to the report, the group of hikers made it to the top right before the sun went down.",It was noted that a delicious meal was made by the chef for the guests.,0.13,Very Low,Unrelated
84,It was noted that the students put in a lot of effort studying for finals.,The students put in a lot of effort studying for finals.,0.82,High,Paraphrase
85,Sources confirmed that the novelist released her long-awaited sequel this spring.,The novelist released her long-awaited sequel this spring.,0.91,Very High,Same Meaning
86,It was noted that groundbreaking research on renewable energy was published by the scientists.,It was noted that the university received a large grant to fund further energy research.,0.55,Medium,Related
87,"As widely reported, the museum's latest exhibit focuses on ancient civilizations.","According to the report, the museum closed its ancient civilizations exhibit permanently.",0.26,Low,Contradiction
88,"As widely reported, the championship was won by the soccer team in a thrilling final match.","Notably, the soccer team lost the championship in a disappointing final.",0.19,Low,Contradiction
89,The hikers reached the summit just before sunset.,"As widely reported, the group of hikers made it to the top right before the sun went down.",0.76,High,Paraphrase
90,It was noted that the factory's energy consumption dropped after an equipment upgrade.,"As widely reported, a delicious meal was made by the chef for the guests.",0.01,Very Low,Unrelated
91,It was noted that the hospital's new wing focuses on caring for young patients.,"Notably, donors contributed generously to fund the hospital's expansion.",0.63,Medium,Related
92,"According to the report, a new exhibit about ancient civilizations opened at the museum.",Visitors can attend guided tours of the museum every weekend.,0.52,Medium,Related
93,"Due to bad weather, the airline had to cancel a number of flights.","As widely reported, due to bad weather, the airline had to cancel a number of flights.",0.76,High,Paraphrase
94,"As widely reported, the soccer team won the championship after a dramatic final.",The championship was won by the soccer team in a thrilling final match.,0.94,Very High,Same Meaning
95,The smartphone's camera has been greatly improved in this new version.,"Notably, the volunteers cleaned up litter along the riverbank last weekend.",0.1,Very Low,Unrelated
96,The guests were served a tasty meal that the chef had cooked.,"As widely reported, the chef prepared a delicious meal for the guests.",0.98,Very High,Same Meaning
97,It was noted that the guests were served a tasty meal that the chef had cooked.,The chef ruined the meal and the guests left disappointed.,0.34,Low,Contradiction
98,"As widely reported, the novelist released her long-awaited sequel this spring.","Notably, the novelist postponed the release of her sequel indefinitely.",0.34,Low,Contradiction
99,It was noted that the new smartphone features a significantly improved camera.,Sources confirmed that the smartphone's camera has been greatly improved in this new version.,0.76,High,Paraphrase
100,"As widely reported, the factory's energy consumption dropped after an equipment upgrade.",New equipment was installed at the factory to cut energy use.,0.89,High,Paraphrase
101,New equipment was installed at the factory to cut energy use.,The factory's energy consumption dropped after an equipment upgrade.,0.91,Very High,Same Meaning
102,"As widely reported, groundbreaking research on renewable energy was published by the scientists.","Notably, the scientists' research on renewable energy was widely criticized as flawed.",0.3,Low,Contradiction
103,"Notably, due to bad weather, the airline had to cancel a number of flights.","Notably, groundbreaking research on renewable energy was published by the scientists.",0.12,Very Low,Unrelated
104,The group of hikers made it to the top right before the sun went down.,"As widely reported, the group of hikers made it to the top right before the sun went down.",0.96,Very High,Same Meaning
