id,text,summary,category,difficulty
1,"Blue Horizon Airlines reported stronger than expected quarterly earnings from its Amsterdam division, driven largely by growth in overseas markets. Executives credited the results to a recent expansion strategy and increased demand for the company's core products. Investors responded positively to the announcement.",Blue Horizon Airlines's Amsterdam division posts strong quarterly earnings due to overseas growth.,Business,Intermediate
2,"The latest film from Summit Robotics Inc. broke box office records during its opening weekend in Seoul, exceeding analysts' predictions. Critics praised the film's visual effects and pacing, while fans lined up for early screenings across the region.",Summit Robotics Inc.'s new film breaks box office records in Seoul and earns critical praise.,Entertainment,Intermediate
3,"Tourism officials in Osaka, working with Zenith Pharmaceuticals, launched a campaign encouraging visitors to explore lesser-known neighborhoods during the off-season. Local businesses hope the initiative will help spread tourism revenue more evenly throughout the year.",Osaka and Zenith Pharmaceuticals launch a campaign promoting off-season tourism to local neighborhoods.,Travel,Beginner
4,Harborview College announced a new scholarship program aimed at supporting students from underrepresented backgrounds in Helsinki. The program will cover tuition and provide mentorship opportunities for selected recipients starting next semester. Officials hope the initiative will improve graduation rates.,Harborview College launches a scholarship and mentorship program to support underrepresented students in Helsinki.,Education,Beginner
5,"Harborview College unveiled a new smartphone this week, claiming it delivers significantly faster performance than earlier models. Engineers spent over a year refining the design after receiving feedback from beta testers, and the company expects the product to reach store shelves by July. Analysts believe the launch could strengthen Harborview College's position against rival firms.","Harborview College launches a new smartphone after a year of development, aiming to outperform earlier models.",Technology,Advanced
6,"Tourism officials in Wellington, working with Falcon Logistics, launched a campaign encouraging visitors to explore lesser-known neighborhoods during the off-season. Local businesses hope the initiative will help spread tourism revenue more evenly throughout the year.",Wellington and Falcon Logistics launch a campaign promoting off-season tourism to local neighborhoods.,Travel,Advanced
7,"Scientists at Ironwood Steel Works in Warsaw announced the discovery of a new material that conducts electricity far more efficiently than existing alternatives. The breakthrough could eventually lead to more efficient batteries and electronics, though commercial use is still years away.",Ironwood Steel Works scientists in Warsaw discover a highly efficient new conductive material.,Science,Advanced
8,"A new direct flight route between Nairobi and a major international hub was announced by Summit Robotics Inc. this week, expected to cut travel time significantly for business and leisure travelers alike. The airline said tickets will go on sale next month.","Summit Robotics Inc. announces a new direct flight to Nairobi, promising shorter travel times.",Travel,Intermediate
9,"The latest film from Lakeside Medical Center broke box office records during its opening weekend in Toronto, exceeding analysts' predictions. Critics praised the film's visual effects and pacing, while fans lined up for early screenings across the region.",Lakeside Medical Center's new film breaks box office records in Toronto and earns critical praise.,Entertainment,Intermediate
10,"A popular streaming series produced by Zenith Pharmaceuticals returned for a new season, quickly becoming one of the most watched shows filmed partly in Warsaw. The season introduced several new characters while resolving major storylines from previous episodes.","Zenith Pharmaceuticals's streaming series, filmed partly in Warsaw, returns for a well-received season.",Entertainment,Intermediate
11,"Scientists at Crescent Media Group in Nairobi announced the discovery of a new material that conducts electricity far more efficiently than existing alternatives. The breakthrough could eventually lead to more efficient batteries and electronics, though commercial use is still years away.",Crescent Media Group scientists in Nairobi discover a highly efficient new conductive material.,Science,Advanced
12,Falcon Logistics announced a new scholarship program aimed at supporting students from underrepresented backgrounds in Cairo. The program will cover tuition and provide mentorship opportunities for selected recipients starting next semester. Officials hope the initiative will improve graduation rates.,Falcon Logistics launches a scholarship and mentorship program to support underrepresented students in Cairo.,Education,Intermediate
13,"Scientists at Golden Gate Retailers in Cape Town announced the discovery of a new material that conducts electricity far more efficiently than existing alternatives. The breakthrough could eventually lead to more efficient batteries and electronics, though commercial use is still years away.",Golden Gate Retailers scientists in Cape Town discover a highly efficient new conductive material.,Science,Beginner
14,Researchers at Crescent Media Group in Marrakesh published findings linking regular physical activity to improved long-term memory in older adults. The study followed participants over several years and controlled for factors such as diet and sleep.,Crescent Media Group researchers in Marrakesh link exercise to better long-term memory in older adults.,Health,Advanced
15,Oakwood Publishing House announced a new scholarship program aimed at supporting students from underrepresented backgrounds in Kuala Lumpur. The program will cover tuition and provide mentorship opportunities for selected recipients starting next semester. Officials hope the initiative will improve graduation rates.,Oakwood Publishing House launches a scholarship and mentorship program to support underrepresented students in Kuala Lumpur.,Education,Intermediate
16,Researchers at Quantum Innovations in Prague published findings linking regular physical activity to improved long-term memory in older adults. The study followed participants over several years and controlled for factors such as diet and sleep.,Quantum Innovations researchers in Prague link exercise to better long-term memory in older adults.,Health,Intermediate
17,"Tourism officials in Marrakesh, working with Cedar Grove Hospital, launched a campaign encouraging visitors to explore lesser-known neighborhoods during the off-season. Local businesses hope the initiative will help spread tourism revenue more evenly throughout the year.",Marrakesh and Cedar Grove Hospital launch a campaign promoting off-season tourism to local neighborhoods.,Travel,Advanced
18,"A new direct flight route between Nairobi and a major international hub was announced by Maple Street School District this week, expected to cut travel time significantly for business and leisure travelers alike. The airline said tickets will go on sale next month.","Maple Street School District announces a new direct flight to Nairobi, promising shorter travel times.",Travel,Intermediate
19,"A new clinic backed by Union Manufacturing Corp. opened in Wellington this month, offering expanded mental health services to residents who previously had limited access to care. The clinic plans to add telehealth appointments in the coming months to reach even more patients.",Union Manufacturing Corp. opens a new clinic in Wellington expanding mental health access.,Health,Intermediate
20,"Scientists at Summit Robotics Inc. in Dublin announced the discovery of a new material that conducts electricity far more efficiently than existing alternatives. The breakthrough could eventually lead to more efficient batteries and electronics, though commercial use is still years away.",Summit Robotics Inc. scientists in Dublin discover a highly efficient new conductive material.,Science,Beginner
21,"Tourism officials in Amsterdam, working with NextGen Software Labs, launched a campaign encouraging visitors to explore lesser-known neighborhoods during the off-season. Local businesses hope the initiative will help spread tourism revenue more evenly throughout the year.",Amsterdam and NextGen Software Labs launch a campaign promoting off-season tourism to local neighborhoods.,Travel,Intermediate
22,"The latest film from Maple Street School District broke box office records during its opening weekend in Marrakesh, exceeding analysts' predictions. Critics praised the film's visual effects and pacing, while fans lined up for early screenings across the region.",Maple Street School District's new film breaks box office records in Marrakesh and earns critical praise.,Entertainment,Intermediate
23,"A new curriculum focused on critical thinking was introduced at schools in Edinburgh this term, developed in partnership with BrightFuture Foundation. Teachers reported that students engaged more actively in classroom discussions after the change. The district plans to expand the program district-wide next year.",Schools in Edinburgh adopt a new critical-thinking curriculum developed with BrightFuture Foundation.,Education,Intermediate
