id,text,task,input_type,expected_output,difficulty
1,Input sample: The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?,Question Answering,Context + Question,more than fifty thousand,Advanced
2,Take the following text: The recipe requires two cups of flour and a teaspoon of salt.|How much flour does the recipe require?,Question Answering,Context + Question,two cups,Intermediate
3,Review this input: The company reported strong quarterly earnings.|Quarterly earnings for the company were strong.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
4,Review this input: Critics praised the director's bold approach to the classic story.,Text Classification,Single Sentence,Entertainment,Advanced
5,"See below: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Intermediate
6,Example: The bridge took nearly six years to construct.|How long did the bridge take to construct?,Question Answering,Context + Question,nearly six years,Advanced
7,Example: Photosynthesis allows plants to convert sunlight into energy.|What does photosynthesis allow plants to do?,Question Answering,Context + Question,convert sunlight into energy,Intermediate
8,"Overall, the online course was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
9,Please review: A new study found that students who participated in peer tutoring programs showed measurable improvement in both grades and confidence over a single semester.,Text Summarization,Paragraph,Study links peer tutoring to improved grades and confidence.,Beginner
10,"Example: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Intermediate
11,"Review this input: Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Beginner
12,"Please review: The film studio confirmed that production on the long-awaited sequel will begin next spring, with much of the original cast expected to return for the project.",Text Summarization,Paragraph,Studio confirms sequel production will begin next spring.,Intermediate
13,Review this input: Ibrahim Smith was appointed as the new director at Blue Horizon Airlines.,Named Entity Recognition,Single Sentence,"PERSON: Ibrahim Smith, ORG: Blue Horizon Airlines",Beginner
14,"Consider the following: Overall, the customer support agent was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
15,The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Beginner
16,The satellite was launched into orbit in early 2021.|When was the satellite launched into orbit?,Question Answering,Context + Question,early 2021,Intermediate
17,Example: Write a short introduction for a blog post about sustainable travel.,Text Generation,Prompt,Sustainable travel focuses on exploring the world while minimizing environmental impact.,Beginner
18,"Input sample: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Beginner
19,"Reference text: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Intermediate
20,Please review: Generate a short caption for a photo of a bustling night market.,Text Generation,Prompt,"Lights, aromas, and laughter fill the air at the city's favorite night market.",Beginner
21,Example: The clinic expanded telehealth services for rural communities.,Text Classification,Single Sentence,Health,Beginner
22,"Case in point: Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Beginner
23,"Consider the following: Overall, the flight was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
24,Take the following text: The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
25,Please review: The farmer checked the soil before planting the [MASK].,Masked Language Modeling,Masked Sentence,seeds,Advanced
26,Case in point: The comet will not be visible again for another seventy years.|When will the comet be visible again?,Question Answering,Context + Question,in another seventy years,Beginner
27,Case in point: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Beginner
28,"As an example, The company launched a new [MASK] to attract younger customers.",Masked Language Modeling,Masked Sentence,campaign,Beginner
29,Task input: Global Trade Partners announced a new office opening in Dublin.,Named Entity Recognition,Single Sentence,"ORG: Global Trade Partners, GPE: Dublin",Beginner
30,"Take the following text: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Intermediate
31,Example: The film's soundtrack topped the charts within a week of release.,Text Classification,Single Sentence,Entertainment,Advanced
32,"Case in point: Overall, the restaurant was unreliable based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
33,The home team secured a narrow victory in the final minutes.,Text Classification,Single Sentence,Sports,Beginner
34,Take the following text: Crescent Media Group announced a new office opening in Vancouver.,Named Entity Recognition,Single Sentence,"ORG: Crescent Media Group, GPE: Vancouver",Intermediate
35,See below: The library was renovated using funds from a private donor.|How was the library's renovation funded?,Question Answering,Context + Question,funds from a private donor,Intermediate
36,Take the following text: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Advanced
37,"As an example, The marathon route passes through five historic neighborhoods.|How many historic neighborhoods does the marathon route pass through?",Question Answering,Context + Question,five,Beginner
38,Example: The startup raised a new round of funding.|The startup's funding round was widely reported as unsuccessful.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
39,Consider the following: The pilot announced a delay because of the [MASK].,Masked Language Modeling,Masked Sentence,weather,Intermediate
40,Sample input: The athlete stretched carefully before the [MASK].,Masked Language Modeling,Masked Sentence,race,Advanced
41,"For instance, The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.",Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
42,Take the following text: Nutritionists recommended simple changes to daily eating habits.,Text Classification,Single Sentence,Health,Intermediate
43,Note the following: Write a short pitch for a language-learning app.,Text Generation,Prompt,Learn a new language in minutes a day with lessons built around real conversations.,Intermediate
44,Case in point: Scientists discovered a new species in the rainforest canopy.,Text Classification,Single Sentence,Science,Advanced
45,Example: Hana Dubois was appointed as the new director at Maple Street School District.,Named Entity Recognition,Single Sentence,"PERSON: Hana Dubois, ORG: Maple Street School District",Beginner
46,Input sample: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Intermediate
47,Case in point: The vaccination campaign reached thousands of families this month.,Text Classification,Single Sentence,Health,Advanced
48,Review this input: The concert featured a surprise duet that thrilled the crowd.,Text Classification,Single Sentence,Entertainment,Beginner
49,Please review: The striker scored twice in the second half of the match.,Text Classification,Single Sentence,Sports,Advanced
50,Sample input: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Beginner
51,Consider the following: The novel was translated into twelve languages after its release.|Into how many languages was the novel translated?,Question Answering,Context + Question,twelve,Intermediate
52,Consider the following: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Advanced
53,Case in point: The company was founded by two engineers in a small garage.|Who founded the company?,Question Answering,Context + Question,two engineers,Beginner
54,Take the following text: The company reported strong quarterly earnings.|Quarterly earnings for the company were strong.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
55,Task input: The school introduced a new coding elective for ninth graders.,Text Classification,Single Sentence,Education,Intermediate
56,Review this input: Quantum Innovations announced a new office opening in Helsinki.,Named Entity Recognition,Single Sentence,"ORG: Quantum Innovations, GPE: Helsinki",Advanced
57,"Sample input: Overall, the software update was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
58,Case in point: Sofia Taylor was appointed as the new director at Redstone Consulting.,Named Entity Recognition,Single Sentence,"PERSON: Sofia Taylor, ORG: Redstone Consulting",Beginner
59,Input sample: The startup secured additional funding to scale its operations abroad.,Text Classification,Single Sentence,Business,Beginner
60,"Reference text: Overall, the software update was impressive based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
61,See below: The train journey between the two cities takes about four hours.|How long does the train journey take?,Question Answering,Context + Question,about four hours,Beginner
62,The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
63,See below: The home team secured a narrow victory in the final minutes.,Text Classification,Single Sentence,Sports,Intermediate
64,"Here is a case to review: Overall, the customer support agent was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
65,Note the following: Continue the story: The old bookstore had one rule that no customer ever questioned...,Text Generation,Prompt,...every book had to be returned to the exact shelf it came from.,Beginner
66,Example: The city unveiled a new walking trail along the historic waterfront.,Text Classification,Single Sentence,Travel,Intermediate
67,"Take the following text: Overall, the new laptop was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
68,Review this input: The students submitted their assignments before the [MASK].,Masked Language Modeling,Masked Sentence,deadline,Beginner
69,Take the following text: The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
70,Case in point: The vaccine trial included over five thousand volunteers worldwide.|How many volunteers were included in the vaccine trial?,Question Answering,Context + Question,over five thousand,Intermediate
71,Input sample: Elena Hall was appointed as the new director at Lakeside Medical Center.,Named Entity Recognition,Single Sentence,"PERSON: Elena Hall, ORG: Lakeside Medical Center",Advanced
72,See below: The hikers reached the summit just before sunset.|The group of hikers made it to the top right before sunset.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
73,"Take the following text: Overall, the flight was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
74,Reference text: The volunteers cleaned up litter along the riverbank.|Litter along the riverbank was cleared by volunteers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Advanced
75,Task input: Carlos Lewis was appointed as the new director at Summit Robotics Inc..,Named Entity Recognition,Single Sentence,"PERSON: Carlos Lewis, ORG: Summit Robotics Inc.",Intermediate
76,Note the following: The bridge took nearly six years to construct.|How long did the bridge take to construct?,Question Answering,Context + Question,nearly six years,Intermediate
77,Note the following: Priya Müller was appointed as the new director at Lakeside Medical Center.,Named Entity Recognition,Single Sentence,"PERSON: Priya Müller, ORG: Lakeside Medical Center",Beginner
78,"Reference text: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Advanced
79,Reference text: The architect sketched the building's [MASK] on the whiteboard.,Masked Language Modeling,Masked Sentence,layout,Beginner
80,Please review: The mechanic inspected the car's [MASK] before the road trip.,Masked Language Modeling,Masked Sentence,engine,Beginner
81,Sample input: The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Intermediate
82,"Case in point: Overall, the software update was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
83,"As an example, Write a short introduction for a blog post about sustainable travel.",Text Generation,Prompt,Sustainable travel focuses on exploring the world while minimizing environmental impact.,Intermediate
84,"See below: The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Beginner
85,Here is a case to review: The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Intermediate
86,Note the following: The teacher handed out the [MASK] at the start of class.,Masked Language Modeling,Masked Sentence,worksheet,Intermediate
87,Reference text: The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
88,Input sample: The recipe requires two cups of flour and a teaspoon of salt.|How much flour does the recipe require?,Question Answering,Context + Question,two cups,Beginner
89,Example: Write an opening sentence for a cooking blog post about seasonal produce.,Text Generation,Prompt,"Nothing captures the flavor of the season quite like fresh, locally grown produce.",Intermediate
90,The company reduced its carbon emissions by thirty percent last year.|By how much did the company reduce its carbon emissions?,Question Answering,Context + Question,thirty percent,Intermediate
91,Note the following: The pilot announced a delay because of the [MASK].,Masked Language Modeling,Masked Sentence,weather,Beginner
92,Please review: Fatima Okafor joined Vertex Analytics in Berlin last year.,Named Entity Recognition,Single Sentence,"PERSON: Fatima Okafor, ORG: Vertex Analytics, GPE: Berlin",Advanced
93,See below: The company launched a new [MASK] to attract younger customers.,Masked Language Modeling,Masked Sentence,campaign,Intermediate
94,"For instance, The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
95,"Take the following text: Overall, the fitness tracker was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
96,Take the following text: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Beginner
97,"Case in point: Overall, the fitness tracker was excellent based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
98,Here is a case to review: Generate a product description for a reusable water bottle.,Text Generation,Prompt,"This durable, eco-friendly water bottle keeps drinks cold for hours at a time.",Advanced
99,"As an example, Travelers shared tips for finding affordable flights this year.",Text Classification,Single Sentence,Travel,Beginner
100,Sample input: Write an opening sentence for a cooking blog post about seasonal produce.,Text Generation,Prompt,"Nothing captures the flavor of the season quite like fresh, locally grown produce.",Intermediate
101,Please review: The clinic expanded telehealth services for rural communities.,Text Classification,Single Sentence,Health,Intermediate
102,See below: The company reduced its carbon emissions by thirty percent last year.|By how much did the company reduce its carbon emissions?,Question Answering,Context + Question,thirty percent,Beginner
103,See below: The tourism board launched a campaign promoting off-season visits.,Text Classification,Single Sentence,Travel,Beginner
104,Please review: Developers released an open-source library for data analysis.,Text Classification,Single Sentence,Technology,Advanced
105,Reference text: The marathon route passed through the old town center.,Text Classification,Single Sentence,Sports,Intermediate
106,Review this input: The chef prepared a delicious meal.|The weather was sunny all week.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
107,Sample input: Teachers attended a workshop on integrating technology into lessons.,Text Classification,Single Sentence,Education,Intermediate
108,"Sample input: Overall, the flight was excellent based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
109,Consider the following: Pioneer Research Institute announced a new office opening in Dublin.,Named Entity Recognition,Single Sentence,"ORG: Pioneer Research Institute, GPE: Dublin",Advanced
110,Task input: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Beginner
111,"Overall, the customer support agent was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
112,Input sample: Draft a short announcement about a community cleanup event.,Text Generation,Prompt,Join your neighbors this Saturday for a community cleanup event at the riverside park.,Intermediate
113,Input sample: Summit Robotics Inc. announced a new office opening in Cape Town.,Named Entity Recognition,Single Sentence,"ORG: Summit Robotics Inc., GPE: Cape Town",Intermediate
114,"Please review: Overall, the fitness tracker was unreliable based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
115,Sample input: The home team secured a narrow victory in the final minutes.,Text Classification,Single Sentence,Sports,Advanced
116,Case in point: The airline introduced a new nonstop route between major cities.,Text Classification,Single Sentence,Travel,Beginner
117,Input sample: The library was renovated using funds from a private donor.|How was the library's renovation funded?,Question Answering,Context + Question,funds from a private donor,Beginner
118,Reference text: Draft a short announcement about a community cleanup event.,Text Generation,Prompt,Join your neighbors this Saturday for a community cleanup event at the riverside park.,Beginner
119,Note the following: Amara Okafor joined Pioneer Research Institute in Wellington last year.,Named Entity Recognition,Single Sentence,"PERSON: Amara Okafor, ORG: Pioneer Research Institute, GPE: Wellington",Intermediate
120,The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
121,Here is a case to review: Ibrahim King was appointed as the new director at Golden Gate Retailers.,Named Entity Recognition,Single Sentence,"PERSON: Ibrahim King, ORG: Golden Gate Retailers",Advanced
122,Review this input: The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
123,"As an example, The young athlete broke the regional record in the sprint.",Text Classification,Single Sentence,Sports,Intermediate
124,Sample input: The volunteers cleaned up litter along the riverbank.|Litter along the riverbank was cleared by volunteers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
125,"Sample input: After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Advanced
126,"Reference text: After years of research, scientists announced a new method for recycling plastic that uses significantly less energy than traditional processes, potentially transforming the recycling industry.",Text Summarization,Paragraph,Scientists develop energy-efficient plastic recycling method.,Intermediate
127,See below: The factory upgraded its equipment to save energy.|The factory's energy use increased after equipment failed.,Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
128,Summit Robotics Inc. announced a new office opening in Jakarta.,Named Entity Recognition,Single Sentence,"ORG: Summit Robotics Inc., GPE: Jakarta",Beginner
129,Reference text: Chemists developed a more efficient method for producing clean fuel.,Text Classification,Single Sentence,Science,Beginner
130,"Take the following text: The scientists' research was widely criticized as flawed.|The scientists published groundbreaking, well-received research.",Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
131,Consider the following: Ingrid Brown joined Union Manufacturing Corp. in Wellington last year.,Named Entity Recognition,Single Sentence,"PERSON: Ingrid Brown, ORG: Union Manufacturing Corp., GPE: Wellington",Beginner
132,Task input: Redstone Consulting announced a new office opening in Osaka.,Named Entity Recognition,Single Sentence,"ORG: Redstone Consulting, GPE: Osaka",Advanced
133,Input sample: Write an opening sentence for a cooking blog post about seasonal produce.,Text Generation,Prompt,"Nothing captures the flavor of the season quite like fresh, locally grown produce.",Intermediate
134,"Here is a case to review: The city's water utility completed a multi-year project to replace aging pipes, reducing leaks and improving water quality for thousands of households.",Text Summarization,Paragraph,"City completes pipe replacement project, improving water quality.",Advanced
135,Case in point: Write a short pitch for a language-learning app.,Text Generation,Prompt,Learn a new language in minutes a day with lessons built around real conversations.,Beginner
136,Example: The young athlete broke the regional record in the sprint.,Text Classification,Single Sentence,Sports,Intermediate
137,See below: A critical vulnerability was patched in the latest software update.,Text Classification,Single Sentence,Technology,Intermediate
138,Task input: Draft a short thank-you message for event volunteers.,Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Advanced
139,"Consider the following: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Intermediate
140,Input sample: The startup's app is available in over forty countries.|In how many countries is the startup's app available?,Question Answering,Context + Question,over forty,Intermediate
141,"Review this input: The city's water utility completed a multi-year project to replace aging pipes, reducing leaks and improving water quality for thousands of households.",Text Summarization,Paragraph,"City completes pipe replacement project, improving water quality.",Beginner
