id,text,language,sentence_length,word_count,character_count,uppercase_count,punctuation_count
1,"A retired teacher, who had monitored a collection of vintage postcards for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,230,1,3
2,A freelance writer questioned an experimental cooking recipe inside the community center within a few hours.,English,Long,16,108,1,1
3,The software engineer organized a series of jazz recordings.,English,Medium,9,60,1,1
4,The delivery driver photographed the quarterly sales figures.,English,Short,8,61,1,1
5,A curious student calculated a series of jazz recordings at a small conference in Melbourne throughout the semester.,English,Long,18,116,2,1
6,The night-shift nurse photographed a rare species of orchid after months of planning.,English,Medium,13,85,1,2
7,A curious student rehearsed the town's water supply system earlier this morning.,English,Medium,12,80,1,2
8,The city council translated the annual budget report at the university campus on a rainy Tuesday.,English,Long,16,97,2,1
9,A young entrepreneur reviewed a new hiking trail along the riverbank after months of planning.,English,Medium,15,94,1,1
10,The debate team captain reviewed a set of handwritten letters at the university campus.,English,Medium,14,87,1,1
11,"According to a recent report published by Maple Street School District, the number of people who recycle the school's science fair has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,241,5,4
12,"A curious student spent several weeks organizing the results of the survey, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,271,1,5
13,"According to a recent report published by Redstone Consulting, the number of people who discuss a collection of vintage postcards has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,240,3,3
14,"Although the weather in Nairobi can be unpredictable during January, A curious student decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,247,4,3
15,How does the new policy affect small business owners?,English,Medium,9,53,1,1
16,Her grandfather photographed several ancient manuscripts along the riverbank throughout the semester.,English,Medium,12,101,1,1
17,A group of tourists calculated the community recycling program at the university campus since last spring.,English,Long,16,106,1,1
18,Her grandfather celebrated the annual budget report earlier this morning.,English,Medium,10,73,1,1
19,"According to a recent report published by Golden Gate Retailers, the number of people who discuss a rare species of orchid has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,38,233,4,3
20,Why do so many people prefer working remotely these days?,English,Medium,10,57,1,1
21,Our neighbor designed the upcoming film festival at the university campus.,English,Medium,11,74,1,1
22,"According to a recent report published by Global Trade Partners, the number of people who discuss an antique wooden clock has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,232,4,3
23,Stop! The bridge ahead is closed for repairs.,English,Short,8,45,2,2
24,The research team sketched a collection of vintage postcards at the university campus.,English,Medium,13,86,1,1
25,The community garden volunteers recorded a collection of vintage postcards during the summer break.,English,Medium,14,99,1,1
26,A wildlife photographer designed the neighborhood's street art in the downtown office.,English,Medium,12,86,1,2
27,The new intern questioned a series of jazz recordings near the old train station throughout the semester.,English,Long,17,105,1,1
28,A young entrepreneur photographed a series of jazz recordings near the old train station within a few hours.,English,Long,18,108,1,1
29,A freelance writer questioned a new hiking trail.,English,Short,8,49,1,1
30,"The research team spent several weeks repairing a rare species of orchid, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,46,269,1,5
31,The community garden volunteers discussed a new hiking trail in the downtown office.,English,Medium,13,84,1,1
32,"Honestly, I was not expecting such a warm welcome.",English,Medium,9,50,2,2
33,The night-shift nurse sketched an experimental cooking recipe inside the community center since last spring.,English,Medium,15,108,1,2
34,A freelance writer calculated the community recycling program near the old train station throughout the semester.,English,Long,16,113,1,1
35,A group of tourists recorded the community recycling program at a small conference in Melbourne just before sunset.,English,Long,18,115,2,1
36,What an amazing view from the top of the hill!,English,Medium,10,46,1,1
37,"Although the weather in Santiago can be unpredictable during December, A retired teacher decided to proceed with the outdoor event, arguing that visitors would still enjoy themselves despite the occasional light rain and cooler evening temperatures.",English,Long,36,249,4,3
38,A young entrepreneur planted the annual budget report on a rainy Tuesday.,English,Medium,12,73,2,1
39,"According to a recent report published by Quantum Innovations, the number of people who review a series of jazz recordings has increased steadily over the past three years, largely due to changing habits and greater public awareness.",English,Long,37,233,3,3
40,"Her grandfather spent several weeks repairing a new hiking trail, and by the end of the project everyone agreed that the effort had been worthwhile, even though the process required patience, careful planning, and a fair amount of trial and error along the way.",English,Long,44,261,1,5
41,The city council designed the neighborhood's street art along the riverbank just before sunset.,English,Medium,14,95,1,2
42,What time does the farmers market open on Sundays?,English,Medium,9,50,2,1
43,"A freelance writer, who had managed a set of handwritten letters for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,38,224,1,3
44,The new intern reviewed the layout of the public library during the summer break.,English,Medium,14,81,1,1
45,A group of tourists repaired the annual budget report at a small conference in Melbourne.,English,Medium,15,89,2,1
46,My younger sister measured the neighborhood's street art in the downtown office since last spring.,English,Medium,15,98,1,2
47,My best friend reviewed a rare species of orchid at the university campus every Saturday afternoon.,English,Long,16,99,2,1
48,When is the best season to visit Prague?,English,Short,8,40,2,1
49,"My younger sister, who had monitored several ancient manuscripts for nearly a decade, finally decided to write a detailed guide so that newcomers could avoid the same mistakes and understand the process from start to finish.",English,Long,36,224,1,3
50,My younger sister rehearsed a new hiking trail near the old train station on a rainy Tuesday.,English,Long,17,93,2,1
51,My best friend reviewed the volunteer schedule inside the community center after months of planning.,English,Medium,15,100,1,1
