id,word,related_word,relationship,category,similarity_score
1,commute,traffic,Related Concept,Daily Life,0.65
2,lab,microscope,Object,Science,0.45
3,test,verify,Action,Science,0.43
4,score,win,Action,Sports,0.56
5,hardware,keyboard,Category Member,Technology,0.69
6,counselor,advisor,Profession,Education,0.53
7,migrate,travel,Action,Nature,0.45
8,tennis,court,Location,Sports,0.43
9,public,private,Antonym,Technology,0.21
10,hot,cold,Antonym,Nature,0.16
11,gadget,smartwatch,Category Member,Technology,0.59
12,measure,calculate,Action,Science,0.44
13,cyclist,bicycle,Object,Sports,0.37
14,appliance,refrigerator,Category Member,Daily Life,0.55
15,hardware,monitor,Category Member,Technology,0.59
16,ocean,sea,Synonym,Nature,0.8
17,amateur,professional,Antonym,Sports,0.22
18,physics,force,Related Concept,Science,0.65
19,lab,research center,Location,Technology,0.49
20,pass,fail,Antonym,Education,0.17
21,executive,director,Profession,Business,0.54
22,bug,glitch,Synonym,Technology,0.89
23,ranger,conservationist,Profession,Nature,0.58
24,victory,win,Synonym,Sports,0.91
25,astronomer,telescope,Object,Science,0.47
26,school,university,Category Member,Education,0.68
27,class,lesson,Synonym,Education,0.93
28,coach,mentor,Action,Sports,0.5
29,teacher,student,Antonym,Education,0.3
30,meal,dish,Synonym,Daily Life,0.87
31,department,finance,Category Member,Business,0.68
32,profit,earnings,Synonym,Business,0.82
33,strong,weak,Antonym,Sports,0.23
34,buy,sell,Antonym,Business,0.22
35,startup,tech hub,Location,Technology,0.37
36,astronomy,galaxy,Related Concept,Science,0.58
37,offense,defense,Antonym,Sports,0.2
38,device,tablet,Category Member,Technology,0.61
39,team,squad,Synonym,Sports,0.81
40,school,curriculum,Related Concept,Education,0.59
41,tennis,racket,Object,Sports,0.5
42,fast,quick,Synonym,Technology,0.84
43,lab,beaker,Object,Science,0.44
44,device,smartphone,Category Member,Technology,0.68
45,soccer,ball,Object,Sports,0.49
46,grade,evaluate,Action,Education,0.58
47,classroom,desk,Object,Education,0.5
48,running,track,Related Concept,Sports,0.58
49,install,setup,Action,Technology,0.49
50,compete,play,Action,Sports,0.42
51,import,export,Antonym,Business,0.17
52,analyze,interpret,Action,Science,0.53
53,teacher,instructor,Synonym,Education,0.94
54,park,neighborhood,Location,Daily Life,0.54
55,developer,coder,Profession,Technology,0.6
56,hire,recruit,Action,Business,0.46
57,administrator,principal,Profession,Education,0.57
58,biology,cell,Related Concept,Science,0.57
59,compile,build,Action,Technology,0.44
60,mountain,range,Location,Nature,0.38
61,cook,prepare,Action,Daily Life,0.48
62,full,empty,Antonym,Daily Life,0.19
63,forest,national park,Location,Nature,0.52
64,bedroom,pillow,Object,Daily Life,0.47
65,science,laboratory,Location,Science,0.5
66,accurate,inaccurate,Antonym,Science,0.21
67,exam,test,Synonym,Education,0.9
68,smart,intelligent,Synonym,Education,0.93
69,student,pupil,Synonym,Education,0.81
70,cleaner,housekeeper,Profession,Daily Life,0.5
71,bathroom,mirror,Object,Daily Life,0.36
72,large,major,Synonym,Business,0.82
73,hypothesis,theory,Synonym,Science,0.81
74,enroll,register,Action,Education,0.54
75,discovery,finding,Synonym,Science,0.85
76,fast,slow,Antonym,Technology,0.16
77,laptop,battery,Object,Technology,0.52
78,developer,programmer,Profession,Technology,0.57
79,store,retail outlet,Location,Business,0.44
80,animal,fox,Category Member,Nature,0.6
81,river,ecosystem,Related Concept,Nature,0.51
82,geology,mineral,Related Concept,Science,0.49
83,educator,teacher,Profession,Education,0.6
84,forest,woodland,Synonym,Nature,0.91
85,sport,soccer,Category Member,Sports,0.57
86,stable,unstable,Antonym,Science,0.26
87,merge,combine,Action,Business,0.59
88,coach,trainer,Synonym,Sports,0.87
89,grade,score,Synonym,Education,0.89
90,secure,protected,Synonym,Technology,0.9
91,strong,powerful,Synonym,Sports,0.88
92,teacher,chalkboard,Object,Education,0.5
93,instrument,telescope,Category Member,Science,0.51
94,cloud,storage,Related Concept,Technology,0.64
95,planet,earth,Category Member,Science,0.63
96,astronomy,observatory,Location,Science,0.49
97,degree,master's,Category Member,Education,0.7
98,morning,evening,Antonym,Daily Life,0.22
99,element,oxygen,Category Member,Science,0.59
100,official,umpire,Profession,Sports,0.4
101,smart,intelligent,Synonym,Technology,0.84
102,accurate,precise,Synonym,Science,0.92
103,secure,vulnerable,Antonym,Technology,0.15
104,student,backpack,Object,Education,0.52
105,garden,planting,Related Concept,Daily Life,0.45
106,animal,deer,Category Member,Nature,0.64
107,bee,hive,Object,Nature,0.52
108,planet,mars,Category Member,Science,0.61
109,library,research,Related Concept,Education,0.57
110,cheap,affordable,Synonym,Business,0.93
111,equipment,gloves,Category Member,Sports,0.63
112,server,data center,Location,Technology,0.41
113,forest,wildlife,Related Concept,Nature,0.53
114,swimming,pool,Location,Sports,0.54
115,exam,grading,Related Concept,Education,0.52
116,teach,instruct,Action,Education,0.42
117,software,update,Related Concept,Technology,0.57
118,observe,record,Action,Science,0.54
119,book,textbook,Synonym,Education,0.87
120,meeting,projector,Object,Business,0.46
121,furniture,chair,Category Member,Daily Life,0.53
122,sport,basketball,Category Member,Sports,0.69
123,erode,wear,Action,Nature,0.52
124,browser,tab,Related Concept,Technology,0.52
125,awake,asleep,Antonym,Daily Life,0.25
126,clean,dirty,Antonym,Daily Life,0.24
127,employee,staff member,Profession,Business,0.53
128,fast,quick,Synonym,Sports,0.8
129,online,offline,Antonym,Technology,0.29
130,experiment,trial,Synonym,Science,0.9
131,commute,travel,Action,Daily Life,0.49
132,basketball,court,Related Concept,Sports,0.52
133,data,information,Synonym,Science,0.83
134,subject,mathematics,Category Member,Education,0.58
135,organic,synthetic,Antonym,Science,0.22
136,mountain,peak,Synonym,Nature,0.93
137,role,analyst,Category Member,Business,0.6
138,official,referee,Profession,Sports,0.53
139,technician,IT support,Profession,Technology,0.6
140,network,router,Related Concept,Technology,0.5
141,software,app,Category Member,Technology,0.63
142,boxer,gloves,Object,Sports,0.37
143,deploy,launch,Action,Technology,0.56
144,ocean,coral reef,Related Concept,Nature,0.65
145,marketing,advertising,Related Concept,Business,0.62
146,visible,invisible,Antonym,Science,0.21
147,furniture,table,Category Member,Daily Life,0.63
148,swimming,pool,Related Concept,Sports,0.6
149,cheap,affordable,Synonym,Technology,0.92
150,bedroom,sleep,Related Concept,Daily Life,0.48
151,equipment,helmet,Category Member,Sports,0.56
152,executive,manager,Profession,Business,0.59
153,library,reading room,Location,Education,0.38
154,kitchen,home,Location,Daily Life,0.37
155,classroom,whiteboard,Object,Education,0.39
156,bloom,flower,Action,Nature,0.42
157,clean,tidy,Action,Daily Life,0.48
158,wet,dry,Antonym,Nature,0.12
159,company,firm,Synonym,Business,0.86
160,tree,pine,Category Member,Nature,0.53
161,river,stream,Synonym,Nature,0.94
162,researcher,biologist,Profession,Science,0.55
163,appliance,microwave,Category Member,Daily Life,0.7
164,educator,professor,Profession,Education,0.54
165,cook,chef,Profession,Daily Life,0.44
166,chemistry,reaction,Related Concept,Science,0.59
167,bird,nest,Object,Nature,0.45
168,market,town square,Location,Daily Life,0.54
169,friend,companion,Synonym,Daily Life,0.93
170,naturalist,biologist,Profession,Nature,0.58
171,startup,funding,Related Concept,Business,0.57
172,hibernate,rest,Action,Nature,0.58
173,beginner,expert,Antonym,Education,0.3
174,relax,unwind,Action,Daily Life,0.54
