id,text,label,category,difficulty
1,ALERT: Introducing a RoadMaster bicycle — order now and get free shipping this week! Don't wait!,Spam,Advertisement,Beginner
2,"Hi, I'm running a bit late, should be there in about ten minutes. Let me know.",Ham,Normal Message,Beginner
3,IMPORTANT: Action required: your membership will expire tonight unless you renew immediately! Respond today.,Spam,Scam,Beginner
4,The quarterly presentation for Zenith Pharmaceuticals is due by end of day Friday. Talk soon.,Ham,Work,Beginner
5,"FYI, Your upcoming event with Oakwood Publishing House has been rescheduled, check the new time. Take care.",Ham,Notification,Beginner
6,"Just a heads up, We should catch up soon, it's been a while since we talked. Let me know.",Ham,Normal Message,Advanced
7,"IMPORTANT: Upgrade today: a NightOwl reading lamp is on sale for a limited time, don't wait! Don't wait!",Spam,Advertisement,Intermediate
8,"Hi, Let's sync up briefly before submitting the proposal to Zenith Pharmaceuticals. Talk soon.",Ham,Work,Intermediate
9,"Hello, Your account settings with Silverline Motors were updated successfully. Let me know.",Ham,Notification,Beginner
10,"IMPORTANT: Your delivery is on hold pending confirmation, update your details to release it!",Spam,Scam,Intermediate
11,NOTICE: URGENT: Your account will be suspended unless you verify your details immediately! Offer won't last.,Spam,Scam,Intermediate
12,ACT NOW: Special member reward unlocked: a free the ChefMate blender is waiting for you! Respond today.,Spam,Promotion,Intermediate
13,"Don't miss our biggest sale of the year on a NovaBook Pro laptop, hurry before it ends!",Spam,Advertisement,Intermediate
14,Quick note: Let's plan a hiking trip for next month if the weather cooperates. Talk soon.,Ham,Normal Message,Advanced
15,NOTICE: Flash sale: a NightOwl reading lamp is now 40% off for the next 24 hours only!,Spam,Advertisement,Beginner
16,ACT NOW: URGENT: Your account will be suspended unless you verify your details immediately! Limited spots remain.,Spam,Scam,Beginner
17,"ACT NOW: Final notice: unusual activity detected on your account, verify now to avoid suspension!",Spam,Scam,Beginner
18,"IMPORTANT: You qualify for a limited cash bonus, complete verification to receive your funds! Limited spots remain.",Spam,Scam,Intermediate
19,Let's plan our schedules for next week during our call. Let me know.,Ham,Normal Message,Intermediate
20,"Your upcoming event with Global Trade Partners has been rescheduled, check the new time. Let me know.",Ham,Notification,Intermediate
21,"Hello, I'm running a bit late, should be there in about ten minutes. Thanks!",Ham,Normal Message,Advanced
22,IMPORTANT: Introducing a TrailRunner backpack — order now and get free shipping this week! Offer won't last.,Spam,Advertisement,Advanced
23,"Final notice: unusual activity detected on your account, verify now to avoid suspension!",Spam,Scam,Beginner
24,"FYI, Please share your feedback on the draft before we send it to Global Trade Partners. Take care.",Ham,Work,Beginner
25,Reminder: your subscription with Silverline Motors renews at the end of this month. Thanks!,Ham,Notification,Intermediate
26,"ATTENTION: Buy the ChefMate blender today and get 50% off your first order, limited time only! Respond today.",Spam,Advertisement,Beginner
27,"Hi, Your upcoming event with Zenith Pharmaceuticals has been rescheduled, check the new time. Take care.",Ham,Notification,Advanced
28,Your subscription to Ironwood Steel Works's newsletter has been updated successfully.,Ham,Notification,Intermediate
29,Quick note: Could you double-check the numbers in the spreadsheet before we send it to Evergreen Energy Co.? Take care.,Ham,Work,Beginner
30,"ATTENTION: Best prices of the season on a PureGlow skincare set, shop the sale now! Respond today.",Spam,Advertisement,Advanced
31,"ALERT: Your account has been flagged for review, respond within 24 hours to avoid closure! Offer won't last.",Spam,Scam,Advanced
32,"FYI, So happy to hear the good news, we should celebrate soon! Let me know.",Ham,Personal,Intermediate
33,"FYI, Can you pick up some groceries on your way home tonight? Talk soon.",Ham,Normal Message,Intermediate
34,NOTICE: Flash sale: a NightOwl reading lamp is now 40% off for the next 24 hours only! Offer won't last.,Spam,Advertisement,Intermediate
35,ATTENTION: You have won a mystery prize! Click the link now to claim before it expires!,Spam,Scam,Beginner
36,"ALERT: As a valued customer, enjoy an extra discount on a SoundWave headset this week! Don't wait!",Spam,Promotion,Advanced
37,"FYI, Your account settings with Meridian Financial Group were updated successfully. Take care.",Ham,Notification,Intermediate
38,Limited spots available: sign up now for a free trial of the AeroFit smartwatch!,Spam,Promotion,Advanced
39,The deadline for the BrightFuture Foundation deliverables has been moved up by two days. Let me know.,Ham,Work,Beginner
40,ALERT: Huge sale on a RoadMaster bicycle — save big before stock runs out! Offer won't last.,Spam,Advertisement,Beginner
41,"Hi, Please share your feedback on the draft before we send it to Falcon Logistics. Thanks!",Ham,Work,Advanced
42,Quick note: This is a reminder that your library books are due back this Friday. Let me know.,Ham,Notification,Advanced
43,"Just a heads up, Let's plan our schedules for next week during our call. Let me know.",Ham,Normal Message,Intermediate
44,Quick note: Did you finish reading that book you mentioned last week? Take care.,Ham,Normal Message,Beginner
45,"FYI, Your reservation at Blue Horizon Airlines has been confirmed for this weekend. Let me know.",Ham,Notification,Beginner
46,"FYI, The new cafe downtown has really good pastries, we should try it. Take care.",Ham,Normal Message,Beginner
47,"Unlock a members-only discount on the CloudDesk chair, available for a short time! Respond today.",Spam,Promotion,Beginner
48,LIMITED TIME: URGENT: Your account will be suspended unless you verify your details immediately! Offer won't last.,Spam,Scam,Beginner
49,"Congratulations on your engagement, so happy for you both! Talk soon.",Ham,Personal,Beginner
50,"Quick note: The client at BrightFuture Foundation asked for an updated timeline, can you draft one? Take care.",Ham,Work,Advanced
51,"FYI, Your appointment with Oakwood Publishing House is confirmed for next Tuesday at 10 AM.",Ham,Notification,Advanced
52,"Hello, This is a confirmation that your request with Zenith Pharmaceuticals has been received.",Ham,Notification,Beginner
53,"Hello, Can you pick up some groceries on your way home tonight? Let me know.",Ham,Normal Message,Intermediate
