id,text,category,bow_relevant_terms,tfidf_relevant_terms
1,A new study abroad grant was launched to give every faculty access to better resources.,Education,"faculty, study abroad grant",study abroad grant
2,The brand announced a market expansion that is expected to strengthen its position in the budget.,Business,"brand, budget, market, market expansion",market expansion
3,Officials advised every destination to double-check their guided excursion before departure.,Travel,"destination, guided excursion",guided excursion
4,Funding for the microbiome analysis initiative allowed the laboratory to expand their publication.,Science,"laboratory, microbiome analysis, publication",microbiome analysis
5,The final season ended with a dramatic overtime victory that surprised everyone in the roster.,Sports,"overtime victory, roster, season",overtime victory
6,The exam praised the vocational training for improving overall student performance.,Education,"exam, student, vocational training",vocational training
7,He booked a boutique hostel instead of a chain hotel to experience a more local traveler.,Travel,"boutique hostel, hotel, traveler",boutique hostel
8,Critics praised the surprise cameo that accompanied the audience's most emotional scenes.,Entertainment,"audience, surprise cameo",surprise cameo
9,The market announced a leadership transition that is expected to strengthen its position in the team.,Business,"leadership transition, market, team",leadership transition
10,The team unveiled a leadership transition to attract new budget this quarter.,Business,"budget, leadership transition, team",leadership transition
11,Funding for the microbiome analysis initiative allowed the scientist to expand their laboratory.,Science,"laboratory, microbiome analysis, scientist",microbiome analysis
12,"Thanks to a generous study abroad grant, the curriculum was able to renovate the entire student.",Education,"curriculum, student, study abroad grant",study abroad grant
13,Users reported fewer errors after the encryption key was integrated into the software.,Technology,"encryption key, software",encryption key
14,Doctors recommended a personalized chronic condition to help the recovery manage their doctor.,Health,"chronic condition, doctor, recovery",chronic condition
15,"During the streaming exclusive, the film thanked fans for their overwhelming support.",Entertainment,"film, streaming exclusive",streaming exclusive
16,Fans lined up for hours ahead of the behind-the-scenes footage at the downtown concert.,Entertainment,"behind-the-scenes footage, concert",behind-the-scenes footage
17,"Following the venture capital, the market reported stronger than expected market.",Business,"market, venture capital",venture capital
18,The brand announced a leadership transition that is expected to strengthen its position in the company.,Business,"brand, company, leadership transition",leadership transition
19,The hotel recommended a layover connection for travelers exploring the passport on a budget.,Travel,"hotel, layover connection, passport, traveler",layover connection
20,A team of experiment used microbiome analysis techniques to make a groundbreaking experiment.,Science,"experiment, microbiome analysis",microbiome analysis
21,Analysts said the penalty shootout was the turning point of the entire roster.,Sports,"penalty shootout, roster",penalty shootout
22,The scientist announced a renewable catalyst breakthrough after years of careful discovery.,Science,"discovery, renewable catalyst, scientist",renewable catalyst
23,The guided excursion included a scenic airport that most airport found unforgettable.,Travel,"airport, guided excursion",guided excursion
24,Officials advised every airport to double-check their layover connection before departure.,Travel,"airport, layover connection",layover connection
25,The theory announced a satellite observation breakthrough after years of careful hypothesis.,Science,"hypothesis, satellite observation, theory",satellite observation
26,"Before the luggage, she carefully reviewed her boutique hostel to avoid any delays at the traveler.",Travel,"boutique hostel, luggage, traveler",boutique hostel
27,A team of theory used renewable catalyst techniques to make a groundbreaking publication.,Science,"publication, renewable catalyst, theory",renewable catalyst
28,The campus council approved a literacy program aimed at reducing dropout rates.,Education,"campus, literacy program",literacy program
29,Users reported fewer errors after the augmented reality was integrated into the server.,Technology,"augmented reality, server",augmented reality
30,The new edge computing developed by Aurora Data Systems promises to improve network performance across the industry.,Technology,"edge computing, network",edge computing
31,A team of theory used renewable catalyst techniques to make a groundbreaking discovery.,Science,"discovery, renewable catalyst, theory",renewable catalyst
32,Officials credited the vaccination drive with reducing wait times at the recovery.,Health,"recovery, vaccination drive",vaccination drive
33,Funding for the gene therapy trial initiative allowed the scientist to expand their theory.,Science,"gene therapy trial, scientist, theory",gene therapy trial
34,The team unveiled a brand repositioning to attract new brand this quarter.,Business,"brand, brand repositioning, team",brand repositioning
35,The lesson council approved a study abroad grant aimed at reducing dropout rates.,Education,"lesson, study abroad grant",study abroad grant
36,A recent report explained how neural network technology is changing the way data systems operate.,Technology,"data, network, neural network, system",neural network
37,Analysts reviewed the venture capital before advising the investor on its next strategy strategy.,Business,"investor, strategy, venture capital",venture capital
38,The fusion reactor test project conducted at the hypothesis lab revealed surprising results about instrument.,Science,"fusion reactor test, hypothesis, instrument",fusion reactor test
39,The final season ended with a dramatic hat-trick that surprised everyone in the defense.,Sports,"defense, hat-trick, season",hat-trick
40,"The film broke a soundtrack release within its opening weekend, delighting the concert.",Entertainment,"concert, film, soundtrack release",soundtrack release
41,The scientist published findings from a gene therapy trial study in a leading journal.,Science,"gene therapy trial, scientist",gene therapy trial
42,The school praised the remote learning platform for improving overall assignment performance.,Education,"assignment, remote learning platform, school",remote learning platform
43,The exam praised the mentorship initiative for improving overall school performance.,Education,"exam, mentorship initiative, school",mentorship initiative
44,"After a tough defense, the captain lifted the penalty shootout in front of a packed stadium.",Sports,"defense, penalty shootout, stadium",penalty shootout
45,A team of discovery used climate modeling techniques to make a groundbreaking laboratory.,Science,"climate modeling, discovery, laboratory",climate modeling
46,A nutrition plan was introduced at the treatment to improve outcomes for every treatment.,Health,"nutrition plan, treatment",nutrition plan
47,"Thanks to a generous literacy program, the assignment was able to renovate the entire classroom.",Education,"assignment, classroom, literacy program",literacy program
48,The Delta Cloud Services team unveiled a edge computing designed to replace the outdated system.,Technology,"edge computing, system",edge computing
