id,text,entities,entity_types,person,organization,location,date,money,product
1,"Isabella Brown joined Maple Street School District in Warsaw on March 22, 2022 to launch a PureGlow skincare set.","Isabella Brown; Maple Street School District; Warsaw; March 22, 2022; a PureGlow skincare set",PERSON; ORG; GPE; DATE; PRODUCT,Isabella Brown,Maple Street School District,Warsaw,"March 22, 2022",,PureGlow skincare set
2,"On July 18, 2016, Oakwood Publishing House opened a new branch in Seoul, Malaysia, appointing Maria Larsen as director.","Maria Larsen; Oakwood Publishing House; Malaysia; Seoul; July 18, 2016",PERSON; ORG; GPE; GPE; DATE,Maria Larsen,Oakwood Publishing House,"Malaysia, Seoul","July 18, 2016",,
3,"The board at Skyline Real Estate approved a $75 investment in Berlin after Yuki Lewis's presentation on July 14, 2025.","Yuki Lewis; Skyline Real Estate; Berlin; July 14, 2025; $75",PERSON; ORG; GPE; DATE; MONEY,Yuki Lewis,Skyline Real Estate,Berlin,"July 14, 2025",$75,
4,"During the conference in Toronto, Hana Brown from Union Manufacturing Corp. unveiled a SoundWave headset priced at $199.",Hana Brown; Union Manufacturing Corp.; Toronto; $199; a SoundWave headset,PERSON; ORG; GPE; MONEY; PRODUCT,Hana Brown,Union Manufacturing Corp.,Toronto,,$199,SoundWave headset
5,"Zenith Pharmaceuticals announced that Ravi Silva will lead the new office in Berlin starting June 11, 2018.","Ravi Silva; Zenith Pharmaceuticals; Berlin; June 11, 2018",PERSON; ORG; GPE; DATE,Ravi Silva,Zenith Pharmaceuticals,Berlin,"June 11, 2018",,
6,"The board at Aurora Data Systems approved a $9.99 investment in Copenhagen after Noah Haddad's presentation on September 1, 2022.","Noah Haddad; Aurora Data Systems; Copenhagen; September 1, 2022; $9.99",PERSON; ORG; GPE; DATE; MONEY,Noah Haddad,Aurora Data Systems,Copenhagen,"September 1, 2022",$9.99,
7,"Fatima Moore joined Summit Robotics Inc. in Helsinki on May 11, 2023 to launch a NovaBook Pro laptop.","Fatima Moore; Summit Robotics Inc.; Helsinki; May 11, 2023; a NovaBook Pro laptop",PERSON; ORG; GPE; DATE; PRODUCT,Fatima Moore,Summit Robotics Inc.,Helsinki,"May 11, 2023",,NovaBook Pro laptop
8,"Skyline Real Estate announced that Charlotte Hall will lead the new office in Zurich starting August 25, 2018.","Charlotte Hall; Skyline Real Estate; Zurich; August 25, 2018",PERSON; ORG; GPE; DATE,Charlotte Hall,Skyline Real Estate,Zurich,"August 25, 2018",,
9,"Lucas Wright joined Quantum Innovations in Seoul on July 8, 2022 to launch a SoundWave headset.","Lucas Wright; Quantum Innovations; Seoul; July 8, 2022; a SoundWave headset",PERSON; ORG; GPE; DATE; PRODUCT,Lucas Wright,Quantum Innovations,Seoul,"July 8, 2022",,SoundWave headset
10,"Summit Robotics Inc. announced that Sara Scott will lead the new office in Denver starting October 3, 2020.","Sara Scott; Summit Robotics Inc.; Denver; October 3, 2020",PERSON; ORG; GPE; DATE,Sara Scott,Summit Robotics Inc.,Denver,"October 3, 2020",,
11,"Julia Walker, a spokesperson for NextGen Software Labs, confirmed the release of the FreshAir purifier for $19.99 on December 1, 2025.","Julia Walker; NextGen Software Labs; December 1, 2025; $19.99; the FreshAir purifier",PERSON; ORG; DATE; MONEY; PRODUCT,Julia Walker,NextGen Software Labs,,"December 1, 2025",$19.99,FreshAir purifier
12,"Olivia Garcia joined Vertex Analytics in Zurich on April 21, 2024 to launch the AeroFit smartwatch.","Olivia Garcia; Vertex Analytics; Zurich; April 21, 2024; the AeroFit smartwatch",PERSON; ORG; GPE; DATE; PRODUCT,Olivia Garcia,Vertex Analytics,Zurich,"April 21, 2024",,AeroFit smartwatch
13,"Zainab Yamamoto joined Vertex Analytics in Amsterdam on July 1, 2023 to launch a SnapShot camera.","Zainab Yamamoto; Vertex Analytics; Amsterdam; July 1, 2023; a SnapShot camera",PERSON; ORG; GPE; DATE; PRODUCT,Zainab Yamamoto,Vertex Analytics,Amsterdam,"July 1, 2023",,SnapShot camera
14,"The board at Crescent Media Group approved a $89.99 investment in Santiago after Wei Fernandez's presentation on July 24, 2023.","Wei Fernandez; Crescent Media Group; Santiago; July 24, 2023; $89.99",PERSON; ORG; GPE; DATE; MONEY,Wei Fernandez,Crescent Media Group,Santiago,"July 24, 2023",$89.99,
15,"Union Manufacturing Corp. partnered with a university in Cape Town to research the PixelView monitor technology, Victor Johansson reported.",Victor Johansson; Union Manufacturing Corp.; Cape Town; the PixelView monitor,PERSON; ORG; GPE; PRODUCT,Victor Johansson,Union Manufacturing Corp.,Cape Town,,,PixelView monitor
16,"On February 2, 2015, Vertex Analytics opened a new branch in Buenos Aires, the Czech Republic, appointing Chloe Khan as director.","Chloe Khan; Vertex Analytics; Buenos Aires; the Czech Republic; February 2, 2015",PERSON; ORG; GPE; GPE; DATE,Chloe Khan,Vertex Analytics,"Buenos Aires, the Czech Republic","February 2, 2015",,
17,"Harborview College partnered with a university in Stockholm to research the GreenLeaf water bottle technology, Zainab King reported.",Zainab King; Harborview College; Stockholm; the GreenLeaf water bottle,PERSON; ORG; GPE; PRODUCT,Zainab King,Harborview College,Stockholm,,,GreenLeaf water bottle
18,"Amara Khan, a spokesperson for Delta Cloud Services, confirmed the release of the ChefMate blender for $24.50 on April 4, 2015.","Amara Khan; Delta Cloud Services; April 4, 2015; $24.50; the ChefMate blender",PERSON; ORG; DATE; MONEY; PRODUCT,Amara Khan,Delta Cloud Services,,"April 4, 2015",$24.50,ChefMate blender
19,"During the conference in Cape Town, Zainab Haddad from Zenith Pharmaceuticals unveiled the TravelLite suitcase priced at $250.",Zainab Haddad; Zenith Pharmaceuticals; Cape Town; $250; the TravelLite suitcase,PERSON; ORG; GPE; MONEY; PRODUCT,Zainab Haddad,Zenith Pharmaceuticals,Cape Town,,$250,TravelLite suitcase
20,"Lakeside Medical Center announced that Leila Scott will lead the new office in Melbourne starting November 7, 2020.","Leila Scott; Lakeside Medical Center; Melbourne; November 7, 2020",PERSON; ORG; GPE; DATE,Leila Scott,Lakeside Medical Center,Melbourne,"November 7, 2020",,
21,"On July 8, 2024, Ironwood Steel Works opened a new branch in Stockholm, Sweden, appointing David Young as director.","David Young; Ironwood Steel Works; Stockholm; Sweden; July 8, 2024",PERSON; ORG; GPE; GPE; DATE,David Young,Ironwood Steel Works,"Stockholm, Sweden","July 8, 2024",,
22,"Chloe Osei, a spokesperson for Zenith Pharmaceuticals, confirmed the release of a PureGlow skincare set for $89.99 on June 4, 2015.","Chloe Osei; Zenith Pharmaceuticals; June 4, 2015; $89.99; a PureGlow skincare set",PERSON; ORG; DATE; MONEY; PRODUCT,Chloe Osei,Zenith Pharmaceuticals,,"June 4, 2015",$89.99,PureGlow skincare set
23,"Golden Gate Retailers partnered with a university in Edinburgh to research a SoundWave headset technology, Kevin Green reported.",Kevin Green; Golden Gate Retailers; Edinburgh; a SoundWave headset,PERSON; ORG; GPE; PRODUCT,Kevin Green,Golden Gate Retailers,Edinburgh,,,SoundWave headset
24,Kevin Lewis traveled from Dublin to Manila to negotiate a deal worth $250 with NextGen Software Labs.,Kevin Lewis; NextGen Software Labs; Dublin; Manila; $250,PERSON; ORG; GPE; GPE; MONEY,Kevin Lewis,NextGen Software Labs,"Dublin, Manila",,$250,
25,"On May 13, 2015, Golden Gate Retailers opened a new branch in Nairobi, Australia, appointing Lucas Petrov as director.","Lucas Petrov; Golden Gate Retailers; Australia; Nairobi; May 13, 2015",PERSON; ORG; GPE; GPE; DATE,Lucas Petrov,Golden Gate Retailers,"Australia, Nairobi","May 13, 2015",,
26,"During the conference in Jakarta, Chen Walker from Maple Street School District unveiled the QuickBrew coffee maker priced at $75.",Chen Walker; Maple Street School District; Jakarta; $75; the QuickBrew coffee maker,PERSON; ORG; GPE; MONEY; PRODUCT,Chen Walker,Maple Street School District,Jakarta,,$75,QuickBrew coffee maker
27,"During the conference in Copenhagen, Sara Larsen from Maple Street School District unveiled the TravelLite suitcase priced at $250.",Sara Larsen; Maple Street School District; Copenhagen; $250; the TravelLite suitcase,PERSON; ORG; GPE; MONEY; PRODUCT,Sara Larsen,Maple Street School District,Copenhagen,,$250,TravelLite suitcase
28,"Silverline Motors partnered with a university in Mumbai to research the PixelView monitor technology, Amara Suzuki reported.",Amara Suzuki; Silverline Motors; Mumbai; the PixelView monitor,PERSON; ORG; GPE; PRODUCT,Amara Suzuki,Silverline Motors,Mumbai,,,PixelView monitor
29,"Redstone Consulting announced that Ahmed Fernandez will lead the new office in Toronto starting November 19, 2025.","Ahmed Fernandez; Redstone Consulting; Toronto; November 19, 2025",PERSON; ORG; GPE; DATE,Ahmed Fernandez,Redstone Consulting,Toronto,"November 19, 2025",,
30,"During the conference in Vancouver, Julia Clark from Oakwood Publishing House unveiled a ProGrip tennis racket priced at $99.",Julia Clark; Oakwood Publishing House; Vancouver; $99; a ProGrip tennis racket,PERSON; ORG; GPE; MONEY; PRODUCT,Julia Clark,Oakwood Publishing House,Vancouver,,$99,ProGrip tennis racket
31,Maria Novak traveled from Buenos Aires to Mumbai to negotiate a deal worth $19.99 with Maple Street School District.,Maria Novak; Maple Street School District; Buenos Aires; Mumbai; $19.99,PERSON; ORG; GPE; GPE; MONEY,Maria Novak,Maple Street School District,"Buenos Aires, Mumbai",,$19.99,
