id,context,question,answer,answer_start,difficulty
1,The Grand Observatory was completed in 2018 and is located in Copenhagen. It attracts roughly 500000 visitors every year.,Where is the Grand Observatory located?,Copenhagen,62,Intermediate
2,The Riverside Museum was completed in 2013 and is located in Wellington. It attracts roughly 22000 visitors every year.,Where is the Riverside Museum located?,Wellington,61,Intermediate
3,Charlotte Kim published a research paper on urban air quality in 2018 while working at Lakeside Medical Center in Prague.,What topic did Charlotte Kim research?,urban air quality,44,Intermediate
4,George Yamamoto joined NextGen Software Labs as a operations coordinator in 2013 and later moved to the Jakarta office in 2018.,In what year did George Yamamoto join NextGen Software Labs?,2013,76,Beginner
5,The Central Library was completed in 2019 and is located in Denver. It attracts roughly 22000 visitors every year.,Where is the Central Library located?,Denver,60,Advanced
6,Samuel Nguyen published a research paper on genetic markers in 1995 while working at Meridian Financial Group in Kuala Lumpur.,In what year did Samuel Nguyen publish the paper?,1995,63,Beginner
7,Emma Osei published a research paper on machine translation in 1996 while working at Vertex Analytics in Dublin.,Where was Emma Osei working when the paper was published?,Vertex Analytics,85,Advanced
8,The Riverside Museum was completed in 1992 and is located in Vancouver. It attracts roughly 45000 visitors every year.,When was the Riverside Museum completed?,1992,38,Intermediate
9,Oakwood Publishing House was founded in Copenhagen in 2013 by Liam Osei. The company now employs more than 22000 people across Japan.,Who founded Oakwood Publishing House?,Liam Osei,62,Beginner
10,Omar Green published a research paper on genetic markers in 2023 while working at Quantum Innovations in Manila.,In what year did Omar Green publish the paper?,2023,60,Intermediate
11,Maple Street School District was founded in Bangkok in 1996 by Daniel Suzuki. The company now employs more than 250000 people across the Netherlands.,In what year was Maple Street School District founded?,1996,55,Advanced
12,Sara Scott joined Lakeside Medical Center as a research scientist in 2015 and later moved to the Kuala Lumpur office in 2016.,In what year did Sara Scott join Lakeside Medical Center?,2015,69,Beginner
13,The Grand Observatory was completed in 2010 and is located in Helsinki. It attracts roughly 8700 visitors every year.,Where is the Grand Observatory located?,Helsinki,62,Advanced
14,The Central Library was completed in 1991 and is located in Bangkok. It attracts roughly 8700 visitors every year.,When was the Central Library completed?,1991,37,Intermediate
15,Grace Ivanov joined Golden Gate Retailers as a marketing director in 1995 and later moved to the Denver office in 2000.,In what year did Grace Ivanov join Golden Gate Retailers?,1995,69,Intermediate
16,The Riverside Museum was completed in 2000 and is located in Denver. It attracts roughly 8700 visitors every year.,Where is the Riverside Museum located?,Denver,61,Beginner
17,Mei Dubois published a research paper on urban air quality in 2002 while working at Coastal Insurance Co. in Seoul.,Where was Mei Dubois working when the paper was published?,Coastal Insurance Co.,84,Advanced
18,"The global health conference took place in Lisbon on September 6, 2017, drawing an audience of about 8700 people from around Argentina.",Where did the global health conference take place?,Lisbon,43,Advanced
