id,original_text,lowercase_text,clean_text,tokenized_text,stopwords_removed,stemmed_text,lemmatized_text
1,I've already sent the invoice; please confirm once you've reviewed it. That's just how it goes sometimes.,i've already sent the invoice; please confirm once you've reviewed it. that's just how it goes sometimes.,i ve already sent the invoice please confirm once you ve reviewed it that s just how it goes sometimes,"['i', 've', 'already', 'sent', 'the', 'invoice', 'please', 'confirm', 'once', 'you', 've', 'reviewed', 'it', 'that', 's', 'just', 'how', 'it', 'goes', 'sometimes']","['ve', 'already', 'sent', 'invoice', 'please', 'confirm', 've', 'reviewed', 's', 'how', 'goes', 'sometimes']",ve already sent invoice please confirm ve review s how go sometim,ve already sent invoice please confirm ve review s how go sometim
2,"Honestly, We can't wait to visit stadium again this summer, it was AMAZING!!! I still can't believe it.","honestly, we can't wait to visit stadium again this summer, it was amazing!!! i still can't believe it.",honestly we can t wait to visit stadium again this summer it was amazing i still can t believe it,"['honestly', 'we', 'can', 't', 'wait', 'to', 'visit', 'stadium', 'again', 'this', 'summer', 'it', 'was', 'amazing', 'i', 'still', 'can', 't', 'believe', 'it']","['honestly', 't', 'wait', 'visit', 'stadium', 'summer', 'amazing', 'still', 't', 'believe']",honest t wait visit stadium summ amaz still t believe,honestly t wait visit stadium summer amaz still t believe
3,"You know, The women's committee organized the fundraiser at the factory.","you know, the women's committee organized the fundraiser at the factory.",you know the women s committee organized the fundraiser at the factory,"['you', 'know', 'the', 'women', 's', 'committee', 'organized', 'the', 'fundraiser', 'at', 'the', 'factory']","['know', 'women', 's', 'committee', 'organized', 'fundraiser', 'factory']",know woman s committee organiz fundrais factory,know woman s committee organiz fundraiser factory
4,Isn't it strange how the leaves change color so quickly in autumn? Everyone agreed it was worth it.,isn't it strange how the leaves change color so quickly in autumn? everyone agreed it was worth it.,isn t it strange how the leaves change color so quickly in autumn everyone agreed it was worth it,"['isn', 't', 'it', 'strange', 'how', 'the', 'leaves', 'change', 'color', 'so', 'quickly', 'in', 'autumn', 'everyone', 'agreed', 'it', 'was', 'worth', 'it']","['isn', 't', 'strange', 'how', 'leaves', 'change', 'color', 'quickly', 'autumn', 'everyone', 'agreed', 'worth']",isn t strange how leaf change color quick autumn everyone agre worth,isn t strange how leaf change color quickly autumn everyone agre worth
5,"Honestly, Wow!!! The the QuickBrew coffee maker costs $199.99, and it's ON SALE right now... Honestly, it wasn't easy.","honestly, wow!!! the the quickbrew coffee maker costs $199.99, and it's on sale right now... honestly, it wasn't easy.",honestly wow the the quickbrew coffee maker costs and it s on sale right now honestly it wasn t easy,"['honestly', 'wow', 'the', 'the', 'quickbrew', 'coffee', 'maker', 'costs', 'and', 'it', 's', 'on', 'sale', 'right', 'now', 'honestly', 'it', 'wasn', 't', 'easy']","['honestly', 'wow', 'quickbrew', 'coffee', 'maker', 'costs', 's', 'sale', 'right', 'honestly', 'wasn', 't', 'easy']",honest wow quickbrew coffee mak cost s sale right honest wasn t easy,honestly wow quickbrew coffee maker cost s sale right honestly wasn t easy
6,"Well, The children were playing happily in the park until it started raining. We'll follow up next week.","well, the children were playing happily in the park until it started raining. we'll follow up next week.",well the children were playing happily in the park until it started raining we ll follow up next week,"['well', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'we', 'll', 'follow', 'up', 'next', 'week']","['well', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 'll', 'follow', 'next', 'week']",well child play happi park until start rain ll follow next week,well child play happily park until start rain ll follow next week
7,She said she'd never seen such a large crowd at the warehouse before. No one expected that outcome.,she said she'd never seen such a large crowd at the warehouse before. no one expected that outcome.,she said she d never seen such a large crowd at the warehouse before no one expected that outcome,"['she', 'said', 'she', 'd', 'never', 'seen', 'such', 'a', 'large', 'crowd', 'at', 'the', 'warehouse', 'before', 'no', 'one', 'expected', 'that', 'outcome']","['said', 'd', 'never', 'seen', 'large', 'crowd', 'warehouse', 'one', 'expected', 'outcome']",said d nev seen large crowd warehouse one expect outcome,said d never seen large crowd warehouse one expect outcome
8,"By the way, I've already sent the invoice; please confirm once you've reviewed it. We'll follow up next week.","by the way, i've already sent the invoice; please confirm once you've reviewed it. we'll follow up next week.",by the way i ve already sent the invoice please confirm once you ve reviewed it we ll follow up next week,"['by', 'the', 'way', 'i', 've', 'already', 'sent', 'the', 'invoice', 'please', 'confirm', 'once', 'you', 've', 'reviewed', 'it', 'we', 'll', 'follow', 'up', 'next', 'week']","['way', 've', 'already', 'sent', 'invoice', 'please', 'confirm', 've', 'reviewed', 'll', 'follow', 'next', 'week']",way ve already sent invoice please confirm ve review ll follow next week,way ve already sent invoice please confirm ve review ll follow next week
9,"Frankly, The children were playing happily in the park until it started raining. It's been quite a journey.","frankly, the children were playing happily in the park until it started raining. it's been quite a journey.",frankly the children were playing happily in the park until it started raining it s been quite a journey,"['frankly', 'the', 'children', 'were', 'playing', 'happily', 'in', 'the', 'park', 'until', 'it', 'started', 'raining', 'it', 's', 'been', 'quite', 'a', 'journey']","['frankly', 'children', 'playing', 'happily', 'park', 'until', 'started', 'raining', 's', 'quite', 'journey']",frank child play happi park until start rain s quite journey,frankly child play happily park until start rain s quite journey
10,"Frankly, I've already sent the invoice; please confirm once you've reviewed it. I still can't believe it.","frankly, i've already sent the invoice; please confirm once you've reviewed it. i still can't believe it.",frankly i ve already sent the invoice please confirm once you ve reviewed it i still can t believe it,"['frankly', 'i', 've', 'already', 'sent', 'the', 'invoice', 'please', 'confirm', 'once', 'you', 've', 'reviewed', 'it', 'i', 'still', 'can', 't', 'believe', 'it']","['frankly', 've', 'already', 'sent', 'invoice', 'please', 'confirm', 've', 'reviewed', 'still', 't', 'believe']",frank ve already sent invoice please confirm ve review still t believe,frankly ve already sent invoice please confirm ve review still t believe
